account,project,comments  ,empty comments ,patterns,dispersion,type
brotherlogic,brotherlogic/recordprocess,100,11.0,17,0.04503597297323367,Human
miki725,miki725/django-url-filter,100,12.0,89,0.03460361045152528,Human
coveralls,miki725/django-url-filter,45,0.0,2,0.10687293961633927,Bot
mikedidomizio,boxing/boxrec-mocks,41,39.0,3,0.0011917219955323553,Human
renovate,Drivetech/meitrack-parser,100,0.0,25,0.11685772887388787,Bot
shiatsumat,firebase/firebaseui-web,15,0.0,12,0.04836841646204307,Human
wti806,firebase/firebaseui-web,100,13.0,88,0.03896637612877049,Human
FrankD412,LLNL/maestrowf,100,0.0,97,0.03123768482904984,Human
ramya-rao-a,microsoft/vscode-extension-telemetry,24,1.0,24,0.03523802571724908,Human
yu199195,Dromara/soul,100,0.0,68,0.04145182782619604,Human
erlepereira,erlepereira/x11-rs,18,0.0,18,0.024759999375165122,Human
leocwlam,leocwlam/system-logger,20,12.0,3,0.08702200895480885,Bot
cjermain,ralph-group/pymeasure,100,0.0,83,0.03513772081394839,Human
ericchiang,ericchiang/k8s,100,7.0,88,0.03552644494386524,Human
facundovictor,ModusCreateOrg/capsule,23,1.0,23,0.03142433133354818,Human
SamHames,DocNow/twarc,100,1.0,99,0.044321370795092775,Human
edsu,DocNow/twarc,100,0.0,100,0.032695980456723235,Human
tkishel,puppetlabs/device_manager,63,0.0,62,0.027532865833088,Human
DavidS,puppetlabs/device_manager,41,7.0,33,0.035685364215203456,Human
normj,aws/aws-lambda-dotnet,100,0.0,79,0.056574179439642734,Human
maxwellgerber,tschaub/mock-fs,12,0.0,12,0.02618409355794304,Human
tschaub,tschaub/mock-fs,100,0.0,84,0.04183653750159094,Human
wuxudong,wuxudong/react-native-charts-wrapper,100,0.0,85,0.02835265288647178,Human
siddontang,pingcap/go-ycsb,100,7.0,65,0.03021905211918678,Human
amyadzuki,g3n/engine,46,6.0,39,0.03988027274436583,Human
thomasp85,thomasp85/tidygraph,100,3.0,89,0.04102088883017023,Human
y-takey,y-takey/chartjs-plugin-stacked100,89,2.0,80,0.042489375402109175,Human
corinnekrych,fabric8-ui/ngx-feature-flag,29,9.0,21,0.0339170318513592,Human
fabric8cd,fabric8-ui/ngx-feature-flag,17,0.0,1,6.090209491489475e-18,Bot
raipc,axibase/atsd-api-python,27,11.0,17,0.027008252566691454,Human
rodionos,axibase/atsd-api-python,28,0.0,28,0.026920738502515758,Human
cbrevik,idehub/react-native-google-analytics-bridge,100,1.0,72,0.05432689990006353,Human
robinmanuelthiel,robinmanuelthiel/flexbutton,100,2.0,95,0.0324890326474093,Human
codecov,jaegertracing/jaeger-client-python,83,0.0,1,0.14628399707333747,Bot
yurishkuro,jaegertracing/jaeger-client-python,100,1.0,95,0.03136218887823442,Human
callum-oakley,pusher/chatkit-client-js,100,4.0,87,0.04060082024922594,Human
JesperLekland,JesperLekland/react-native-svg-charts,100,4.0,91,0.035098032729711195,Human
GSadee,Sylius/AdminOrderCreationPlugin,44,14.0,24,0.046247392869332875,Human
s0md3v,s0md3v/Photon,100,10.0,91,0.03590853938711773,Human
AmauriC,AmauriC/tarteaucitron.js,100,0.0,100,0.029233021537601215,Human
cjelger,adobe/commerce-cif-api,52,9.0,44,0.0416539579218897,Human
codecov-io,adobe/commerce-cif-api,38,0.0,1,0.257653532007187,Bot
ralphbean,fedora-infra/datagrepper,100,9.0,90,0.03284214680268896,Human
chshersh,kowainik/co-log,100,4.0,91,0.03881798805368291,Human
slok,slok/kubewebhook,100,33.0,68,0.03476521729484572,Human
ant-design-bot,react-component/dialog,19,0.0,1,0.13704967107999833,Bot
yesmeck,react-component/dialog,46,1.0,41,0.03066477173410328,Human
nitzanj,cloudinary/cloudinary_java,100,81.0,14,0.0083803247150073,Human
erikandre,facebook/fresco,100,0.0,98,0.027990945407966886,Human
facebook-github-bot,facebook/fresco,100,0.0,6,0.1259238759105455,Bot
duncdrum,eXist-db/node-exist,25,1.0,25,0.032291761970382284,Human
snyk-bot,Snugug/gulp-armadillo,53,0.0,8,0.16038193256408115,Bot
nihalgonsalves,razorpay/ifsc,27,2.0,26,0.03330648021544607,Human
captn3m0,razorpay/ifsc,100,4.0,87,0.03189531431786346,Human
rsmekala,Juniper/py-junos-eznc,70,7.0,57,0.0348976800561456,Human
jnpr-community-netdev,Juniper/py-junos-eznc,100,0.0,5,0.01769177390084655,Bot
bricesanchez,refinery/refinerycms,100,9.0,90,0.03509443888618246,Human
chuanshuoye,ZhongAnTech/zarm-vue,60,26.0,33,0.014437784289201432,Human
grgrzybek,ops4j/org.ops4j.pax.jdbc,100,12.0,62,0.07191977772876793,Human
SamVerschueren,sindresorhus/alfy,100,1.0,98,0.0335696550245944,Human
mfehr94,FSVAOS/VAOS,100,7.0,12,0.5206276143978221,Bot
peterbroadhurst,kaleido-io/ethconnect,100,3.0,98,0.033234957651241584,Human
jonathanswong,Tealium/tealium-tvos,14,11.0,4,0.015380529522257342,Human
rhelmot,angr/angr-management,100,4.0,94,0.035829499378221184,Human
redgeoff,redgeoff/spiegel,100,15.0,74,0.04655894034287809,Human
justinlittman,DocNow/twarc,56,3.0,54,0.03640136190774854,Human
dependabot-preview,sobolevn/recase,100,0.0,5,0.20916251369727343,Bot
jsemler,LLNL/maestrowf,65,0.0,63,0.03293131068372456,Human
smithad15,angular-redux/platform,89,19.0,67,0.03970561322750218,Human
ihacku,ysrc/yulong-hids,22,0.0,22,0.026146797906434014,Human
jancajthaml,jancajthaml-openbank/lake,100,96.0,5,0.0010842231394726104,Human
objective-audio,objective-audio/SwiftFlowGraph,22,19.0,4,0.0026727644927002567,Human
xh3b4sd,giantswarm/node-operator,100,23.0,46,0.08230192179571919,Human
joelrebel,bmc-toolbox/bmclib,100,18.0,82,0.03335177159217244,Human
yangjianzhou,mybatis/generator,11,0.0,8,0.08491678072582018,Human
jeffgbutler,mybatis/generator,100,11.0,78,0.03889658099470231,Human
Kiikurage,mil-tokyo/webdnn,100,53.0,41,0.01841710363974425,Human
GaoJiasheng,didi/falcon-log-agent,47,9.0,38,0.02437000034563471,Human
Zales0123,Sylius/AdminOrderCreationPlugin,100,15.0,62,0.0496327191491512,Human
faisalman,faisalman/ua-parser-js,100,0.0,80,0.03855416754721929,Human
HazAT,getsentry/sentry-react-native,100,2.0,95,0.03350374983234586,Human
swissspidy,wearerequired/wp-feed-post-thumbnail,13,5.0,8,0.0249049349859388,Human
salgum1114,salgum1114/react-design-editor,100,18.0,79,0.0357565149463905,Human
kkoumantaros,ARGOeu/argo-ams-library,15,3.0,13,0.03592868001899378,Human
wnxn,yunify/qingcloud-csi,100,1.0,39,0.1951018042369209,Human
gbastien,collective/collective.contact.core,21,1.0,21,0.05391678519646018,Human
vincentfretin,collective/collective.contact.core,39,0.0,39,0.03793958739299005,Human
