Bot,Humain
190,9
27,62
2,15
1,62
126,8
44,20
1,1196
1,1475
117,3
43,14
1,550
3,23
4,0
3,642
880,16
248,104
364,274
0,8
19,344
0,88
14,2779
0,1
94,2656
305,10
9,71
294,5
0,5
2,49
0,95
0,804
5,59
1,81
0,45
110,5568
9,40
0,18
150,269
0,457
3,336
966,1475
21,5
129,83
15,47
2,26
2,1418
70,2
91,57
13,8
5,50
3,621
0,12
0,0
9,288
0,117
5,52
0,5
1,15
3,58
1,3
0,31
65,47
60,32
45,4
17,101
15,70
29,147
40,70
4,245
0,144
3,389
0,70
3,12
5,11
0,15
20,43
1,691
5,5
2,56
4,948
7,15
1,105
92,3
2,76
1,36
5,8
1,175
3,24
0,1231
7,267
6,545
1,9
0,51
0,9
8,27
4,3233
0,99
1,173
0,360
195,7
0,75
0,237
4,106
1,125
0,380
0,13
3,6
94,242
1,183
5,36
549,348
1,36
0,9
0,96
0,0
0,180
0,2
0,6667
0,375
1,47
1,86
5,570
6,147
1,153
32,48
0,26
1,59
190,4
3,153
0,217
1,5135
4,812
0,312
1,133
0,171
1,929
4,105
3,8
79,59
1,217
4,6
1,20
4,142
15,76
0,10
5,30
0,10
0,8
7,1606
1,7
0,266
0,31
0,66
0,179
6,208
0,323
0,349
5,61
1,36
0,18
131,20
9,11
0,96
3,142
0,100
0,14
10,4
2,20
3,16
1,62
0,63
3,71
1,219
0,124
1,17
1,418
2,22
0,12
0,147
0,86
0,25
1,242
0,24
0,175
1,358
0,43
14,143
2,161
0,218
0,157
0,48
1,1
0,18
0,45
26,302
0,33
70,423
5,15
6,246
7,79
0,188
0,97
0,158
0,11
0,79
1,212
0,14
3,575
1,2
0,11
2,11
0,33
0,284
4,1
2,27
1,1
22,43
3,92
0,937
0,185
1,435
18,76
0,107
0,1335
115,24
10,157
12,471
2,10
2,171
0,4
0,1
0,61
1,10
10,4
0,726
0,38
0,53
0,234
4,9
4,206
5,3
16,0
0,112
4,139
8,6
0,5
5,11
8,27
0,143
5,7
5,1953
1,148
5,24
3,31
1,75
15,286
4,36
1,19
6,1166
2,11932
1,42
0,617
10,131
19,25
2,4
0,6
7,66
0,160
53,594
0,49
2,19
1,5034
1,817
0,348
1,10
17,52
10,73
1,126
1,15
1,2
3,315
0,7
17,174
1,196
16,67
3,51
3,6
4,0
1,20
0,11
0,294
0,14
0,38
0,17
0,20
0,12
0,42
57,155
0,72
1,16
0,13
1,60
0,26
0,276
0,74
0,25
1,17
0,8
1,368
0,130
1,62
0,108
11,369
0,67
0,1795
0,159
2,50
37,32
5,19
837,51
0,1
1,23
0,138
0,730
6,299
2,866
1,1243
0,61
0,1132
0,4
1,11
31,2139
0,15
0,5
24,291
0,89
5,348
12,1
92,1
7,4
2,105
7,136
1507,59
6,99
2,2
0,31
3,38
0,425
0,4
0,27
3,22
0,26
0,17
8,2
2,28
2,176
0,42
0,20
3,15
1,611
1,9
0,28
0,6
0,78
0,40
2,59
14,169
2,0
0,14
0,1
3,6
0,1
9,0
1,20
0,169
0,170
0,4
3,51
97,53
0,94
1,140
0,8
1,71
18,16
73,3534
35,27
10,29
65,827
0,46
9,2698
15,29
7,292
13,5587
8,181
7,66
0,86
12,93
0,60
109,856
7,87
2,2
3,39
1,2
97,100
7,577
33,441
,1
,631
,22
,30
,370
,86
,64
,45
,586
,2
,7
,75
,42
,118
,117
,3
,48
,1
,11
,2
,1
,16743
,6
,1978
,65
,10
,32
,85
,23
,0
,40
,2
,196
,92
,30
,388
,233
,0
,31
,505
,35
,2
,54
,59
,103
,326
,535
,61
,525
,6
,437
,45
,201
,100
,46
,193
,49
,4
,231
,37
,2
,80
,1
,20
,352
,832
,183
,1
,10
,1455
,4
,55
,28
,27
,3
,418
,1360
,92
,429
,84
,7
,385
,84
,38
,106
,8
,2
,5
,1
,2
,85
,66
,0
,24
,1
,31
,68
,99
,415
,54
,22
,6
,624
,3
,123
,36
,11216
,229
,57
,1914
,13
,3
,39
,9
,212
,16
,27
,206
,289
,22
,841
,6167
,24
,49
,124
,817
,61
,0
,20
,1
,54
,6
,17
,41
,2
,13
,14
,401
,22
,46
,983
,664
,9
,99
,5
,43
,4
,26
,123
,1
,2
,38
,50
,4
,481
,58
,95
,33
,28
,300
,8
,701
,12
,54
,5
,117
,91
,6
,2
,9
,6
,15
,0
,49
,17
,426
,239
,42
,15
,1
,233
,189
,276
,5
,231
,57
,639
,36
,24
,7
,6
,59
,60
,42
,90
,62
,149
,52
,21
,27
,64
,27
,36
,38
,468
,5496
,2544
,68
,17
,3
,6
,4
,1963
,589
,28
,46
,13
,75
,78
,106
,2075
,2
,262
,41
,3
,21
,2998
,39
,91
,149
,10
,17
,48
,50
,130
,8
,1058
,9
,229
,297
,35
,859
,16
,85
,435
,31
,32
,18
,19
,209
,181
,605
,32
,15
,14
,4
,50
,298
,15
,4395
,119
,389
,2
,14
,1770
,69
,96
,12852
,852
,245
,59
,33
,2
,73
,847
,2
,223
,4
,51
,25
,60
,1
,77
,201
,538
,1
,196
,83
,53
,234
,27
,338
,24
,59
,164
,155
,53
,0
,0
,30
,5
,301
,33
,2843
,0
,87
,488
,13
,21
,36
,46
,50
,22
,1
,3
,5
,40
,244
,65
,1
,0
,55
,311
,11834
,11
,1293
,0
,453
,80
,17
,101
,59
,15
,7
,179
,159
,36
,196
,137
,165
,4
,108
,194
,120
,264
,26
,57
,37
,24
,191
,3444
,6
,22
,0
,13
,159
,42
,0
,48
,12
,128
,37
,8
,36
,29
,1
,791
,1948
,79
,336
,382
,96
,16
,64
,15
,2
,145
,9
,73
,377
,1617
,139
,457
,202
,23
,77
,75
,287
,120
,87
,105
,25
,280
,764
,998
,8
,176
,63
,41
,0
,3
,16
,10
,55
,17
,78
,64
,21
,8
,10
,1
,75
,8
,22
,770
,37
,16
,53
,46
,2421
,3
,2
,50
,1419
,7
,67
,5
,20
,18
,315
,134
,6
,21
,159
,77
,184
,25
,101
,65
,17
,108
,318
,228
,5
,42
,18
,57
,252
,12
,368
,11
,641
,16
,360
,102
,20
,196
,152
,49
,46
,291
,26
,28
,13
,68
,285
,228
,121
,47
,51
,33
,87
,101
,34
,48
,205
,345
,39
,52
,28
,117
,48
,5
,50
,474
,31
,84
,260
,12
,26
,20
,4
,141
,661
,495
,194
,16
,1057
,19
,9
,581
,334
,574
,163
,30
,1528
,18
,237
,36
,109
,33
,313
,4
,36
,5
,105
,0
,41
,43
,18
,126
,200
,2
,183
,42
,158
,145
,1527
,266
,342
,1
,41
,144
,1136
,78
,92
,271
,292
,1
,43
,24
,11
,18
,514
,73
,37
,753
,2
,1475
,2202
,33
,8
,1231
,3200
,2
,119
,3954
,736
,1833
,13
,42
,15
,3983
,8
,1
,229
,0
,26
,55
,37
,35
,157
,41
,6
,29
,1568
,341
,12358
,27
,460
,5
,100
,20
,104
,104
,83
,18
,35
,43
,6
,18
,7
,15
,3
,25
,7
,41
,169
,143
,255
,115
,1562
,24
,17
,29
,38
,4
,2
,71
,244
,104
,28
,2
,11
,41
,4
,15
,0
,34
,32
,18
,151
,1074
,495
,254
,18
,0
,3
,90
,61
,449
,1775
,20
,47802
,53
,0
,67
,5
,49
,64
,131
,24
,7
,76
,4
,115
,0
,6
,64
,2
,28
,75
,197
,6
,585
,224
,379
,1668
,110
,551
,0
,118
,110
,63
,11
,104
,122
,33
,177
,452
,7
,35
,48
,0
,6
,1056
,26
,13
,1
,109
,32
,0
,10
,239
,1794
,6
,912
,10
,36
,281
,188
,7
,19
,0
,6
,4
,49
,101
,15
,92
,3
,152
,27
,24
,25
,1867
,477
,1
,12
,11
,4
,41
,100
,663
,34
,18
,38
,99
,334
,779
,170
,4
,72
,90
,0
,331
,844
,43
,19
,756
,620
,980
,165
,68
,12
,727
,19
,1
,158
,478
,28
,76
,80
,120
,3
,18
,46
,819
,247
,160
,1458
,52
,30
,40
,0
,127
,170
,1
,232
,67
,0
,259
,429
,7
,4
,907
,42
,236
,372
,11
,34
,1
,144
,49
,695
,1
,8
,9
,38
,151
,32
,425
,3796
,918
,53
,21
,96
,17
,25
,75
,10928
,30
,32
,439
,1219
,2506
,35
,123
,63
,126
,2015
,5
,14
,1738
,292
,692
,9
,154
,32
,30
,15
,20
,28
,2055
,205
,104
,7
,1803
,0
,58
,107
,0
,57
,34
,98
,20
,71
,130
,531
,242
,43
,13
,138
,4
,145
,275
,35
,175
,106
,34
,179
,1
,560
,648
,327
,22
,338
,2
,65
,1471
,133
,49
,872
,221
,74
,35
,438
,12
,9
,413
,3942
,617
,4264
,3
,60
,2
,28
,11
,73
,19
,74
,46
,62
,3
,47
,4852
,4
,661
,167
,229
,182
,33
,470
,8
,459
,14
,45
,65
,73
,9
,57
,55
,16
,58
,103
,59
,97
,20
,3
,490
,47
,63
,41
,57
,80
,1511
,36
,13
,3
,16
,13
,108
,60
,10
,250
,205
,86
,1153
,328
,225
,12
,39
,181
,35
,2139
,5
,309
,4903
,98
,21
,50
,12
,29
,86
,56
,111
,50
,50
,4
,405
,298
,92
,25
,9
,191
,497
,30
,363
,499
,230
,42
,22
,94
,1450
,281
,3
,0
,21
,481
,135
,495
,90
,64
,6066
,667
,139
,34
,39
,126
,2
,124
,50
,153
,144
,40
,89
,24
,24
,5
,144
,344
,108
,20
,57
,209
,82
,734
,59
,1266
,1256
,1090
,126
,745
,180
,23
,68
,36
,1092
,37
,35
,5986
,203
,23
,601
,73
,77
,77
,1463
,107
,845
,56
,5
,5
,256
,5
,74
,308
,48
,57
,4
,14
,31
,10
,265
,27
,29
,1804
,71
,818
,67
,2
,8
,1
,297
,9
,234
,70
,761
,2017
,177
,372
,69
,11
,41
,28
,58
,704
,75
,21
,43
,131
,277
,13
,49
,161
,4
,468
,5
,260
,332
,118
,1
,1
,173
,5
,49
,143
,32
,1942
,2
,20
,50
,712
,66
,33
,14
,182
,351
,200
,56
,63
,136
