Compte,lev,Type
Leonya,30.0,Bot
lintr-bot,78.0,Bot
mister-roboto,83.0,Bot
blueprint-bot,81.0,Bot
pantheon-ci-bot,95.0,Bot
cypress-bot,91.0,Bot
hasura-bot,83.0,Bot
wildfly-ci,95.0,Bot
akka-ci,85.0,Bot
sebbo2002,22.0,Bot
edsu,59.5,Human
normj,73.5,Human
rodionos,41.0,Human
s0md3v,67.0,Human
AmauriC,26.0,Human
ralphbean,23.0,Human
yesmeck,64.0,Human
bricesanchez,26.0,Human
grgrzybek,31.0,Human
smithad15,63.0,Human
jeffgbutler,65.5,Human
Kiikurage,68.0,Human
faisalman,39.0,Human
HazAT,34.0,Human
gbastien,64.0,Human
vincentfretin,54.0,Human
springmeyer,21.5,Human
snoyberg,26.0,Human
auvipy,53.0,Human
peterdettman,30.0,Human
hSaria,76.0,Human
LukeTowers,38.0,Human
Hypnosphi,32.5,Human
matfish2,61.0,Human
ClaraBuettner,53.5,Human
alshakero,55.5,Human
aksonov,26.0,Human
vieron,19.0,Human
marijnh,30.0,Human
stephpy,26.0,Human
TriangleJuice,21.0,Human
cvasseng,35.0,Human
kortschak,68.5,Human
jdolitsky,35.0,Human
jaqx0r,59.5,Human
zsquareplusc,57.0,Human
euvl,48.5,Human
dbaeumer,22.0,Human
davazp,30.0,Human
icy,23.0,Human
ajayns,36.5,Human
bgrainger,21.0,Human
schweitzdesign,31.0,Human
kazuki43zoo,27.0,Human
jcfr,30.0,Human
shrektan,11.0,Human
twolfson,67.0,Human
sparhami,41.0,Human
jonobr1,16.5,Human
jessfraz,74.0,Human
mikaoj,58.5,Human
ppolewicz,32.0,Human
bwbeach,34.0,Human
stefvanbuuren,57.0,Human
genevieve,1.0,Human
darrachequesne,36.0,Human
bradvogel,47.0,Human
tdewolff,30.0,Human
liabru,43.0,Human
hadjipantelis,16.5,Human
topepo,60.5,Human
bertjwregeer,30.0,Human
krystophv,63.5,Human
colin-marshall,67.0,Human
fetrarij,57.0,Human
ilexp,34.0,Human
pllim,41.0,Human
GermanBluefox,89.0,Human
wcjordan,51.5,Human
joelmartinez,65.0,Human
kytrinyx,27.5,Human
staltz,28.5,Human
sameb,23.0,Human
jridgewell,21.5,Human
istarkov,69.0,Human
Ntonio36,66.0,Human
