Compte,empty,Type
leocwlam,33.33333333333333,Bot
facebook-github-bot,0.0,Bot
Leonya,67.2279792746114,Bot
Hibernate-CI,87.42857142857143,Bot
VesnaT,87.5,Bot
bors,28.57142857142857,Bot
k8s-ci-robot,0.0,Bot
Page-,44.327176781002635,Bot
haikuoliu,85.71428571428571,Bot
matzkoh,46.017699115044245,Bot
jayudey-wf,20.0,Bot
CFPBot,96.7032967032967,Bot
ININ-TransifexAutomation,100.0,Bot
pravesh-a,80.76923076923077,Bot
stakater-user,99.11504424778761,Bot
holinnn,67.64705882352942,Bot
samhatoum,100.0,Bot
pyup-bot,100.0,Bot
daybrush,50.0,Bot
reimannf,61.111111111111114,Bot
rultor,100.0,Bot
svc-excavator-bot,79.04761904761905,Bot
bors-servo,0.0,Bot
alexandernanberg,85.71428571428571,Bot
openshift-ci-robot,0.0,Bot
openshift-bot,0.0,Bot
caicloud-bot,100.0,Bot
ForbesLindesay-Bot,97.10144927536231,Bot
nfbot,35.294117647058826,Bot
octokitbot,42.5531914893617,Bot
atomist-bot,0.24154589371980675,Bot
jetstack-bot,0.0,Bot
omnisharp-bot,100.0,Bot
doppins-bot,82.35294117647058,Bot
dep-bot,100.0,Bot
greenkeeperio-bot,0.0,Bot
oclif-bot,3.7209302325581395,Bot
kissaten-bot,100.0,Bot
jekyllbot,83.33333333333334,Bot
testcafe-build-bot,100.0,Bot
renovate-bot,100.0,Bot
forge-bot,100.0,Bot
shaka-bot,0.0,Bot
qiwibot,0.0,Bot
OCA-git-bot,79.39698492462311,Bot
monty-bot,64.94845360824742,Bot
OdysseusBot,60.0,Bot
TPRobots,0.0,Bot
edx-requirements-bot,87.14285714285714,Bot
prombot,0.0,Bot
5iMON-bot,100.0,Bot
wmfs-bot,0.0,Bot
voidraybot,100.0,Bot
pouchrobot,0.6211180124223602,Bot
jujubot,0.0,Bot
ArduinoBot,0.0,Bot
AgoricBot,100.0,Bot
NuKeeperBot,100.0,Bot
coorpacademybot,66.07142857142857,Bot
Staffbot,20.0,Bot
GK-keeper-bot,0.0,Bot
eclipse-jaxb-impl-bot,95.0,Bot
kubermatic-bot,0.0,Bot
ladybugbot,100.0,Bot
mainio-integration-bot,95.0,Bot
eclipse-milo-bot,100.0,Bot
ks-ci-bot,0.0,Bot
getsentry-bot,100.0,Bot
vis-bot,100.0,Bot
algoliareadmebot,100.0,Bot
salesforce-ux-bot,60.0,Bot
dpebot,91.66666666666666,Bot
pantheon-ci-bot,0.0,Bot
metal3-io-bot,0.21413276231263384,Bot
omex-github-bot-internal,7.317073170731707,Bot
karmarunnerbot,98.0,Bot
sre-bot,60.0,Bot
hospitalrunbot,61.267605633802816,Bot
msft-github-bot,0.0,Bot
theguild-bot,100.0,Bot
dlang-bot,0.03614022406938923,Bot
alluxio-bot,0.0,Bot
hasura-bot,0.0,Bot
che-bot,0.0,Bot
submariner-bot,0.0,Bot
openshift-azure-robot,100.0,Bot
tedium-bot,98.86792452830188,Bot
nacho-bot,66.37362637362637,Bot
jenkins-x-bot,0.0,Bot
metamaskbot,94.91525423728814,Bot
ibmdotcom-bot,79.58115183246073,Bot
PWAStudioBot,100.0,Bot
Favware-bot,25.67049808429119,Bot
airbnb-bot,0.0,Bot
dotnet-maestro-bot,33.33333333333333,Bot
dhis2-bot,0.0,Bot
explosion-bot,94.11764705882352,Bot
bundlerbot,0.39428289797930016,Bot
pirate-bot,0.0,Bot
ng-zorro-bot,57.14285714285714,Bot
StepFunctions-Bot,100.0,Bot
yarpcbot,98.1549815498155,Bot
ucloud-bot,58.69565217391305,Bot
INGIbot,18.181818181818183,Bot
skydive-bot,0.0,Bot
ExtendReality-Bot,0.0,Bot
asanabot,100.0,Bot
z-docker-bot,100.0,Bot
babel-bot,86.99186991869918,Bot
yarnbot,66.43356643356644,Bot
Codegnosis,82.5974025974026,Bot
thecodeholic,74.07407407407408,Bot
ddes-ci,0.0,Bot
stencila-ci,0.0,Bot
thorntail-ci,100.0,Bot
mesosphere-frontend-ci,100.0,Bot
appserver-ci,0.0,Bot
hft-team-city,99.28057553956835,Bot
build-travis-ci,15.625,Bot
jdroid-ci,61.36363636363637,Bot
balena-ci,100.0,Bot
livingdocs-automation,0.0,Bot
yoshi-automation,22.22222222222222,Bot
scrutinizer-auto-fixer,0.0,Bot
aws-cdk-automation,16.94915254237288,Bot
bors-homu,0.0,Bot
bors-libra,0.0,Bot
jujugui,0.0,Bot
octokit-fixture-user-a,30.76923076923077,Bot
PRB0t,85.71428571428571,Bot
mayerm94,54.83870967741935,Bot
sebbo2002,64.62829736211032,Bot
brotherlogic,58.22784810126582,Human
miki725,75.82417582417582,Human
mikedidomizio,92.85714285714286,Human
shiatsumat,66.66666666666666,Human
wti806,43.75,Human
FrankD412,38.46153846153847,Human
ramya-rao-a,81.25,Human
yu199195,80.3754266211604,Human
erlepereira,56.25,Human
cjermain,83.33333333333334,Human
ericchiang,60.65573770491803,Human
facundovictor,0.0,Human
SamHames,49.46236559139785,Human
edsu,68.88667992047714,Human
tkishel,86.16352201257862,Human
DavidS,36.95652173913043,Human
normj,62.36099230111206,Human
maxwellgerber,100.0,Human
tschaub,71.875,Human
wuxudong,87.13450292397661,Human
siddontang,58.620689655172406,Human
amyadzuki,66.66666666666666,Human
thomasp85,91.1504424778761,Human
y-takey,74.49664429530202,Human
corinnekrych,64.15094339622641,Human
raipc,88.23529411764706,Human
rodionos,39.77900552486188,Human
cbrevik,80.52631578947368,Human
robinmanuelthiel,86.36363636363636,Human
yurishkuro,57.74647887323944,Human
callum-oakley,80.16528925619835,Human
JesperLekland,70.55016181229773,Human
GSadee,64.47368421052632,Human
s0md3v,86.30705394190872,Human
AmauriC,68.47545219638242,Human
cjelger,25.71428571428571,Human
ralphbean,64.0677966101695,Human
chshersh,40.42553191489361,Human
slok,7.395498392282958,Human
yesmeck,76.92307692307693,Human
nitzanj,79.74683544303798,Human
erikandre,1.9607843137254901,Human
