Compte,empty,Type
renovate,0.0,Bot
Leonya,0.0,Bot
matzkoh,0.0,Bot
samhatoum,3.5294117647058822,Bot
whulshof,0.0,Bot
daybrush,0.0,Bot
reimannf,0.0,Bot
dsmjs-bot,0.0,Bot
hn-bot,0.0,Bot
watson-github-bot,0.0,Bot
HT2Bot,0.0,Bot
hubotbot,0.0,Bot
atomist-bot,0.0,Bot
moltinbot,0.0,Bot
sailsbot,0.0,Bot
yii-bot,0.0,Bot
greenkeeperio-bot,0.0,Bot
oclif-bot,0.0,Bot
ualbertalib-bot,0.0,Bot
jekyllbot,0.0,Bot
styleguidist-bot,0.0,Bot
mike-north-bot,0.0,Bot
shaka-bot,0.0,Bot
qiwibot,0.0,Bot
OCA-git-bot,0.0,Bot
travi-bot,0.0,Bot
owo-bot,0.0,Bot
5iMON-bot,0.0,Bot
form8ion-bot,0.0,Bot
pouchrobot,0.9900990099009901,Bot
commitizen-bot,0.0,Bot
gain-bot,0.0,Bot
Staffbot,0.0,Bot
eclipse-jaxb-impl-bot,0.0,Bot
sourcegraph-bot,0.0,Bot
vis-bot,0.0,Bot
karmarunnerbot,0.0,Bot
sre-bot,0.0,Bot
knative-test-reporter-robot,0.0,Bot
che-bot,0.0,Bot
openshift-azure-robot,0.0,Bot
webpack-bot,0.0,Bot
ibmdotcom-bot,0.0,Bot
PWAStudioBot,0.0,Bot
dhis2-bot,0.0,Bot
ng-zorro-bot,0.0,Bot
idealbot,0.0,Bot
cozy-bot,0.0,Bot
botcerts,0.0,Bot
nockbot,0.0,Bot
ross-bott,50.0,Bot
ExtendReality-Bot,0.0,Bot
dictybasebot,0.0,Bot
matrixbot,0.0,Bot
z-docker-bot,0.0,Bot
seabird-bot,0.0,Bot
tessel-crashbot,0.0,Bot
change-bot,0.0,Bot
knative-housekeeping-robot,0.0,Bot
mods-bot,0.0,Bot
robotccm,0.0,Bot
babel-bot,0.0,Bot
QacoBot,0.0,Bot
bazel-flag-bot,0.0,Bot
taro-bot,0.0,Bot
swaglyricsbot,0.0,Bot
glassfishrobot,0.0,Bot
thecodeholic,100.0,Bot
prettyCoders,0.0,Bot
ddes-ci,0.0,Bot
nexus-ci,0.0,Bot
stencila-ci,0.0,Bot
mesosphere-frontend-ci,0.0,Bot
smartcar-ci,0.0,Bot
smartive-ci,0.0,Bot
balena-ci,0.0,Bot
yoshi-automation,0.0,Bot
arcus-automation,0.0,Bot
ibm-devx-automation,0.0,Bot
Google-Autofuzz,0.0,Bot
PRB0t,0.0,Bot
sebbo2002,25.0,Bot
brotherlogic,12.222222222222221,Human
miki725,16.666666666666664,Human
wti806,0.0,Human
FrankD412,0.0,Human
ramya-rao-a,0.0,Human
yu199195,0.6711409395973155,Human
erlepereira,0.0,Human
cjermain,0.0,Human
ericchiang,19.047619047619047,Human
facundovictor,0.0,Human
SamHames,4.166666666666666,Human
edsu,0.0,Human
normj,0.0,Human
tschaub,0.0,Human
siddontang,14.285714285714285,Human
amyadzuki,0.0,Human
thomasp85,42.42424242424242,Human
raipc,0.0,Human
robinmanuelthiel,75.0,Human
yurishkuro,7.142857142857142,Human
GSadee,0.0,Human
AmauriC,0.0,Human
ralphbean,0.0,Human
chshersh,12.121212121212121,Human
slok,50.0,Human
yesmeck,0.0,Human
duncdrum,0.0,Human
nihalgonsalves,0.0,Human
captn3m0,5.555555555555555,Human
rsmekala,0.0,Human
bricesanchez,0.0,Human
chuanshuoye,100.0,Human
grgrzybek,10.614525139664805,Human
SamVerschueren,0.0,Human
peterbroadhurst,0.0,Human
rhelmot,15.384615384615385,Human
redgeoff,4.3478260869565215,Human
justinlittman,0.0,Human
jsemler,0.0,Human
smithad15,31.03448275862069,Human
ihacku,0.0,Human
jancajthaml,7.6923076923076925,Human
joelrebel,0.0,Human
jeffgbutler,0.0,Human
Kiikurage,22.65625,Human
GaoJiasheng,0.0,Human
Zales0123,20.0,Human
HazAT,9.090909090909092,Human
swissspidy,44.44444444444444,Human
salgum1114,58.536585365853654,Human
wnxn,25.757575757575758,Human
gbastien,0.0,Human
sbinet,9.090909090909092,Human
DvdMgr,16.666666666666664,Human
springmeyer,5.434782608695652,Human
qjouda,0.0,Human
jaumard,0.0,Human
ciscoheat,0.0,Human
ElRaptorus,0.0,Human
snoyberg,0.0,Human
auvipy,100.0,Human
decadence,0.0,Human
peterdettman,0.0,Human
NickNeck,31.147540983606557,Human
cmswalker,0.0,Human
alvarotrigo,0.0,Human
iwasaki-kenta,0.0,Human
hSaria,0.0,Human
scottbedard,0.0,Human
LukeTowers,0.0,Human
jaredallard,10.0,Human
csoltenborn,26.25,Human
s-nakajima,25.0,Human
rminnich,0.0,Human
jmrodri,12.5,Human
faiface,0.0,Human
fredwangwang,0.0,Human
matfish2,0.0,Human
ClaraBuettner,0.0,Human
doug-martin,0.0,Human
ai,0.0,Human
w0rm,33.33333333333333,Human
alshakero,33.33333333333333,Human
daviscabral,0.0,Human
aksonov,0.0,Human
kud,7.6923076923076925,Human
vieron,0.0,Human
silasdavis,0.0,Human
tophsic,0.0,Human
sabas,0.0,Human
sfriedel,0.0,Human
chris-ramon,0.0,Human
bootstraponline,0.0,Human
visualfc,0.0,Human
cordoval,33.33333333333333,Human
stephpy,20.833333333333336,Human
mhchia,0.0,Human
dingo-d,0.0,Human
TriangleJuice,0.0,Human
alimanfoo,3.942652329749104,Human
soffchen,0.0,Human
nadoo,100.0,Human
BryanApellanes,81.81818181818183,Human
drewsonne,9.375,Human
KacperMadej,0.0,Human
cvasseng,0.0,Human
gregberge,0.0,Human
kortschak,0.0,Human
gfinak,4.3478260869565215,Human
andrewimm,0.0,Human
jdolitsky,4.25531914893617,Human
scottcorgan,64.28571428571429,Human
sawanoboly,0.0,Human
jongmoon,0.0,Human
jcraigk,40.0,Human
Arkounay,0.0,Human
integrii,8.0,Human
shockey,0.0,Human
jaqx0r,0.0,Human
bartoszpietrzak1994,25.0,Human
kinggoesgaming,0.0,Human
antleblanc,0.0,Human
jrobeson,0.0,Human
lucaslorentz,0.0,Human
ruimarinho,0.0,Human
tomkerkhove,0.0,Human
Gbuomprisco,33.33333333333333,Human
ondrej-fabry,33.33333333333333,Human
DjebbZ,0.0,Human
maciejtreder,21.568627450980394,Human
dcousens,36.36363636363637,Human
tartley,5.555555555555555,Human
junderw,0.0,Human
nicolaasuni,0.0,Human
ankurs,100.0,Human
SML-MeSo,0.0,Human
smoke,0.0,Human
zsquareplusc,0.0,Human
euvl,0.0,Human
dbaeumer,47.31182795698925,Human
deepakkumar1984,20.0,Human
PuercoPop,0.0,Human
davazp,4.918032786885246,Human
kevinmehall,0.0,Human
Tasteful,0.0,Human
anntzer,0.0,Human
icy,20.0,Human
skyesx,50.0,Human
gavinorland,10.0,Human
cuining,100.0,Human
ajayns,0.0,Human
dborsatto,100.0,Human
MindFlavor,29.230769230769234,Human
sohamkamani,0.0,Human
italolelis,0.0,Human
rShetty,44.44444444444444,Human
bgrainger,0.0,Human
tarampampam,0.0,Human
allencloud,11.11111111111111,Human
genomics-geek,0.0,Human
ymmt2005,0.0,Human
vmarkovtsev,0.0,Human
dhollinger,0.0,Human
amay077,1.8181818181818181,Human
AnthonyBloomer,55.55555555555556,Human
samussiah,7.894736842105263,Human
danedexF5,0.0,Human
eed3si9n,20.0,Human
mikem8361,7.6923076923076925,Human
garethahealy,1.5151515151515151,Human
kazuki43zoo,35.44303797468354,Human
ebussieres,0.0,Human
jcfr,12.087912087912088,Human
msaps,2.631578947368421,Human
shrektan,0.0,Human
aelanman,0.0,Human
sqweelygig,0.6134969325153374,Human
PTaylour,20.0,Human
matthewhanson,12.244897959183673,Human
sserrata,0.0,Human
greenkeeper,0.0,Human
sparhami,0.0,Human
ponychicken,0.0,Human
jonobr1,2.631578947368421,Human
jessfraz,63.63636363636363,Human
frezbo,0.0,Human
maartenbreddels,0.0,Human
MichaelAquilina,37.704918032786885,Human
timfallmk,0.0,Human
daschult,50.0,Human
RikkiGibson,100.0,Human
rdmurphy,0.0,Human
palewire,90.9090909090909,Human
andersondalmina,9.523809523809524,Human
juliabpp,50.90909090909091,Human
ljharb,0.0,Human
tylertreat,0.0,Human
stereobooster,3.4482758620689653,Human
jdeeburke,0.0,Human
mikaoj,20.0,Human
hamzahamidi,0.0,Human
davesque,0.0,Human
francisco-maciel,0.0,Human
edgurgel,0.0,Human
dmacthedestroyer,0.0,Human
dylans,0.0,Human
MattHodge,16.666666666666664,Human
pmarks,0.0,Human
johngian,22.22222222222222,Human
dipinhora,0.0,Human
spartan218,0.0,Human
ppolewicz,3.125,Human
bwbeach,3.3333333333333335,Human
mickhansen,0.0,Human
dkent600,0.0,Human
gerkovink,0.0,Human
stefvanbuuren,0.0,Human
genevieve,48.78048780487805,Human
rowanjacobs,0.0,Human
derkan,0.0,Human
dgoodwin,0.0,Human
csrwng,0.0,Human
martindurant,0.0,Human
matthewdfuller,0.0,Human
fredliporace,0.0,Human
darrachequesne,0.0,Human
boz,9.465020576131687,Human
bradvogel,0.0,Human
cpu,9.523809523809524,Human
brendan-ward,5.263157894736842,Human
t-kelly,0.0,Human
jonathanmoore,0.0,Human
dan-gamble,0.0,Human
varahash,0.0,Human
suzuki-shunsuke,60.0,Human
tdewolff,0.0,Human
liabru,0.0,Human
Roasbeef,0.0,Human
smikula,0.0,Human
hadjipantelis,0.0,Human
topepo,16.083916083916083,Human
dgassaway,0.0,Human
bertjwregeer,11.11111111111111,Human
prescottprue,0.0,Human
Christina-Kang,0.0,Human
samedder,0.0,Human
akshayjshah,0.0,Human
buschtoens,0.0,Human
dfreeman,0.0,Human
texastoland,0.0,Human
JamesHenry,13.157894736842104,Human
tnrich,0.0,Human
oyed,0.0,Human
waigani,12.0,Human
emersonwood,0.0,Human
colin-marshall,0.0,Human
fetrarij,0.0,Human
tiggerntatie,0.0,Human
fzerorubigd,66.66666666666666,Human
SirePi,0.0,Human
ilexp,0.0,Human
jamienoss,0.0,Human
pllim,0.0,Human
JoshKarpel,3.937007874015748,Human
comtihon,0.0,Human
GermanBluefox,0.0,Human
Tanner-MS,0.0,Human
wcjordan,0.0,Human
Chethannp,0.0,Human
Scrum,75.0,Human
joelmartinez,0.0,Human
nelio2k,6.896551724137931,Human
heynext,0.0,Human
norkans7,100.0,Human
sharafian,0.0,Human
jmmv,0.0,Human
Mogball,4.3478260869565215,Human
kytrinyx,0.7194244604316548,Human
pstehlik,0.0,Human
manofstick,0.0,Human
iamcal,0.0,Human
ARolek,28.09917355371901,Human
mrmrs,36.58536585365854,Human
Widdershin,0.0,Human
staltz,8.074534161490684,Human
kashike,0.0,Human
jamiealquiza,33.793103448275865,Human
grofit,0.0,Human
jridgewell,0.0,Human
gliptak,0.0,Human
jessepeterson,0.0,Human
istarkov,0.0,Human
ludwigschubert,8.0,Human
maxbrunsfeld,0.0,Human
Nightsd01,0.0,Human
anishkny,0.0,Human
vitorbal,0.0,Human
asyncanup,23.076923076923077,Human
jpeach,0.0,Human
zalmoxisus,0.0,Human
qoomon,25.0,Human
michelvocks,4.545454545454546,Human
Skarlso,10.344827586206897,Human
abhinav,3.7735849056603774,Human
kerrykimbrough,8.823529411764707,Human
sseide,0.0,Human
mitsuhiko,0.0,Human
jrburke,1.9230769230769231,Human
Nihlus,0.0,Human
luchotc,6.0606060606060606,Human
rodri042,0.0,Human
flbulgarelli,23.52941176470588,Human
snakefoot,0.0,Human
wilzbach,0.0,Human
Hackerpilot,5.128205128205128,Human
FireController1847,0.0,Human
fent,0.0,Human
wieslawsoltes,21.73913043478261,Human
greatislander,0.0,Human
schlessera,0.0,Human
dabernathy89,0.0,Human
jasonyin,0.0,Human
lukasz-pyrzyk,41.46341463414634,Human
mattsb42-aws,3.3333333333333335,Human
ef4,0.0,Human
bcomnes,11.11111111111111,Human
futuregerald,0.0,Human
calavera,0.0,Human
editicalu,0.0,Human
mhammond,0.0,Human
jaffee,11.11111111111111,Human
chessai,14.285714285714285,Human
andrewthad,0.0,Human
alexgrozav,4.918032786885246,Human
MabezDev,0.0,Human
Shesekino,46.15384615384615,Human
rossta,25.0,Human
farskipper,2.666666666666667,Human
csvenke,65.0,Human
nkubala,10.0,Human
grant-d,13.846153846153847,Human
jcdickinson,33.33333333333333,Human
lpinca,0.0,Human
kvesteri,61.53846153846154,Human
rdvelazquez,0.0,Human
ztellman,0.0,Human
MonkeyDZeke,0.0,Human
dboskovic,0.0,Human
pokoli,0.0,Human
rodrigc,0.0,Human
rmp135,0.0,Human
pedrobaeza,0.0,Human
lucasvo,0.0,Human
justmoon,8.333333333333332,Human
shomron,6.25,Human
hdevalence,0.0,Human
jimmynotjim,0.0,Human
williamjamir,0.0,Human
max3903,0.0,Human
gmyenni,15.151515151515152,Human
felixfiskare,0.0,Human
LJaraCastillo,0.0,Human
kaczmarj,18.181818181818183,Human
estambakio-sc,0.0,Human
dustinmm80,0.0,Human
sgnn7,0.0,Human
tsloughter,0.0,Human
andmos,16.666666666666664,Human
SolomoN-ua,0.0,Human
dchabot,0.0,Human
newville,4.545454545454546,Human
hhslepicka,0.0,Human
Rich-Harris,0.0,Human
wbhob,0.0,Human
FezVrasta,0.0,Human
xz64,0.0,Human
kawych,80.0,Human
cwtuan,0.0,Human
pepyakin,16.129032258064516,Human
dazuma,0.0,Human
sschmidTU,0.0,Human
0xfe,4.081632653061225,Human
afc163,0.0,Human
jonahgraham,0.0,Human
eikenb,0.0,Human
RobinBuschmann,17.647058823529413,Human
brianegan,0.0,Human
ababic,0.0,Human
kood1,0.0,Human
Ghnuberath,36.84210526315789,Human
fm-tibco,0.0,Human
cblomart,0.0,Human
martinRenou,0.0,Human
kristfal,0.0,Human
rejas,0.0,Human
mjpt777,0.0,Human
