Compte,lev,Type
Leonya,30.0,Bot
matzkoh,92.0,Bot
samhatoum,28.0,Bot
daybrush,78.0,Bot
dsmjs-bot,100.0,Bot
hn-bot,100.0,Bot
atomist-bot,56.0,Bot
moltinbot,100.0,Bot
sailsbot,38.0,Bot
yii-bot,40.0,Bot
greenkeeperio-bot,100.0,Bot
oclif-bot,100.0,Bot
ualbertalib-bot,64.0,Bot
jekyllbot,99.0,Bot
styleguidist-bot,100.0,Bot
shaka-bot,71.0,Bot
OCA-git-bot,72.0,Bot
travi-bot,100.0,Bot
form8ion-bot,100.0,Bot
pouchrobot,64.0,Bot
gain-bot,99.5,Bot
eclipse-jaxb-impl-bot,78.0,Bot
sourcegraph-bot,91.0,Bot
karmarunnerbot,58.0,Bot
sre-bot,42.0,Bot
knative-test-reporter-robot,86.0,Bot
che-bot,45.0,Bot
openshift-azure-robot,93.0,Bot
webpack-bot,45.0,Bot
ibmdotcom-bot,47.0,Bot
PWAStudioBot,38.0,Bot
dhis2-bot,87.0,Bot
cozy-bot,94.0,Bot
nockbot,100.0,Bot
ross-bott,50.0,Bot
dictybasebot,80.0,Bot
matrixbot,39.0,Bot
z-docker-bot,88.0,Bot
seabird-bot,77.0,Bot
tessel-crashbot,100.0,Bot
change-bot,92.0,Bot
mods-bot,77.0,Bot
robotccm,45.0,Bot
babel-bot,36.0,Bot
QacoBot,71.0,Bot
bazel-flag-bot,58.0,Bot
taro-bot,56.0,Bot
swaglyricsbot,87.0,Bot
glassfishrobot,31.0,Bot
prettyCoders,78.0,Bot
nexus-ci,100.0,Bot
mesosphere-frontend-ci,91.0,Bot
balena-ci,68.5,Bot
yoshi-automation,48.0,Bot
arcus-automation,37.0,Bot
Google-Autofuzz,51.0,Bot
sebbo2002,12.0,Bot
brotherlogic,13.0,Human
miki725,25.0,Human
FrankD412,35.0,Human
yu199195,10.0,Human
cjermain,31.0,Human
ericchiang,19.0,Human
facundovictor,61.0,Human
SamHames,32.0,Human
edsu,32.0,Human
