Followers,Type
190,Bot
27,Bot
2,Bot
1,Bot
126,Bot
44,Bot
1,Bot
1,Bot
117,Bot
43,Bot
1,Bot
3,Bot
4,Bot
3,Bot
880,Bot
248,Bot
364,Bot
0,Bot
19,Bot
0,Bot
14,Bot
0,Bot
94,Bot
305,Bot
9,Bot
294,Bot
0,Bot
2,Bot
0,Bot
0,Bot
5,Bot
1,Bot
0,Bot
110,Bot
9,Bot
0,Bot
150,Bot
0,Bot
3,Bot
966,Bot
21,Bot
129,Bot
15,Bot
2,Bot
2,Bot
70,Bot
91,Bot
13,Bot
5,Bot
3,Bot
0,Bot
0,Bot
9,Bot
0,Bot
5,Bot
0,Bot
1,Bot
3,Bot
1,Bot
0,Bot
65,Bot
60,Bot
45,Bot
17,Bot
15,Bot
29,Bot
40,Bot
4,Bot
0,Bot
3,Bot
0,Bot
3,Bot
5,Bot
0,Bot
20,Bot
1,Bot
5,Bot
2,Bot
4,Bot
7,Bot
1,Bot
92,Bot
2,Bot
1,Bot
5,Bot
1,Bot
3,Bot
0,Bot
7,Bot
6,Bot
1,Bot
0,Bot
0,Bot
8,Bot
4,Bot
0,Bot
1,Bot
0,Bot
195,Bot
0,Bot
0,Bot
4,Bot
1,Bot
0,Bot
0,Bot
3,Bot
94,Bot
1,Bot
5,Bot
549,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
1,Bot
5,Bot
6,Bot
1,Bot
32,Bot
0,Bot
1,Bot
190,Bot
3,Bot
0,Bot
1,Bot
4,Bot
0,Bot
1,Bot
0,Bot
1,Bot
4,Bot
3,Bot
79,Bot
1,Bot
4,Bot
1,Bot
4,Bot
15,Bot
0,Bot
5,Bot
0,Bot
0,Bot
7,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
6,Bot
0,Bot
0,Bot
5,Bot
1,Bot
0,Bot
131,Bot
9,Bot
0,Bot
3,Bot
0,Bot
0,Bot
10,Bot
2,Bot
3,Bot
1,Bot
0,Bot
3,Bot
1,Bot
0,Bot
1,Bot
1,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
1,Bot
0,Bot
14,Bot
2,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
26,Bot
0,Bot
70,Bot
5,Bot
6,Bot
7,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
3,Bot
1,Bot
0,Bot
2,Bot
0,Bot
0,Bot
4,Bot
2,Bot
1,Bot
22,Bot
3,Bot
0,Bot
0,Bot
1,Bot
18,Bot
0,Bot
0,Bot
115,Bot
10,Bot
12,Bot
2,Bot
2,Bot
0,Bot
0,Bot
0,Bot
1,Bot
10,Bot
0,Bot
0,Bot
0,Bot
0,Bot
4,Bot
4,Bot
5,Bot
16,Bot
0,Bot
4,Bot
8,Bot
0,Bot
5,Bot
8,Bot
0,Bot
5,Bot
5,Bot
1,Bot
5,Bot
3,Bot
1,Bot
15,Bot
4,Bot
1,Bot
6,Bot
2,Bot
1,Bot
0,Bot
10,Bot
19,Bot
2,Bot
0,Bot
7,Bot
0,Bot
53,Bot
0,Bot
2,Bot
1,Bot
1,Bot
0,Bot
1,Bot
17,Bot
10,Bot
1,Bot
1,Bot
1,Bot
3,Bot
0,Bot
17,Bot
1,Bot
16,Bot
3,Bot
3,Bot
4,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
57,Bot
0,Bot
1,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
1,Bot
0,Bot
1,Bot
0,Bot
11,Bot
0,Bot
0,Bot
0,Bot
2,Bot
37,Bot
5,Bot
837,Bot
0,Bot
1,Bot
0,Bot
0,Bot
6,Bot
2,Bot
1,Bot
0,Bot
0,Bot
0,Bot
1,Bot
31,Bot
0,Bot
0,Bot
24,Bot
0,Bot
5,Bot
12,Bot
92,Bot
7,Bot
2,Bot
7,Bot
1507,Bot
6,Bot
2,Bot
0,Bot
3,Bot
0,Bot
0,Bot
0,Bot
3,Bot
0,Bot
0,Bot
8,Bot
2,Bot
2,Bot
0,Bot
0,Bot
3,Bot
1,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
2,Bot
14,Bot
2,Bot
