Compte,empty,Type
renovate,0.0,Bot
leocwlam,85.71428571428571,Bot
facebook-github-bot,0.0,Bot
snyk-bot,0.0,Bot
dependabot-preview,0.0,Bot
VesnaT,0.0,Bot
Page-,11.475409836065573,Bot
haikuoliu,0.0,Bot
matzkoh,81.81818181818183,Bot
jayudey-wf,0.0,Bot
CFPBot,0.0,Bot
ININ-TransifexAutomation,0.0,Bot
Szetty,0.0,Bot
holinnn,91.66666666666666,Bot
samhatoum,70.96774193548387,Bot
pyup-bot,0.0,Bot
daybrush,0.0,Bot
reimannf,0.0,Bot
dependencies,0.0,Bot
svc-excavator-bot,0.0,Bot
alexandernanberg,0.0,Bot
openshift-ci-robot,0.0,Bot
caicloud-bot,0.0,Bot
ForbesLindesay-Bot,0.0,Bot
nfbot,8.571428571428571,Bot
octokitbot,0.0,Bot
atomist-bot,0.0,Bot
omnisharp-bot,0.0,Bot
doppins-bot,0.0,Bot
dep-bot,5.263157894736842,Bot
gocardless-robot-restricted,91.66666666666666,Bot
oclif-bot,100.0,Bot
kissaten-bot,0.0,Bot
jekyllbot,33.33333333333333,Bot
renovate-bot,0.0,Bot
shaka-bot,0.0,Bot
symfony-skeleton-bot,0.0,Bot
monty-bot,0.0,Bot
OdysseusBot,100.0,Bot
TPRobots,0.0,Bot
edx-requirements-bot,0.0,Bot
owo-bot,2.4691358024691357,Bot
prombot,0.0,Bot
5iMON-bot,0.0,Bot
Rozebot,5.263157894736842,Bot
spinnakerbot,0.0,Bot
voidraybot,0.0,Bot
openshift-cherrypick-robot,0.0,Bot
pouchrobot,0.0,Bot
AgoricBot,100.0,Bot
NuKeeperBot,0.0,Bot
coorpacademybot,45.56962025316456,Bot
Staffbot,0.0,Bot
sisu-bot,0.0,Bot
dependabot,0.0,Bot
eclipse-jaxb-impl-bot,0.0,Bot
kubermatic-bot,0.0,Bot
mainio-integration-bot,22.22222222222222,Bot
zaripych-bot,11.11111111111111,Bot
MagicMirrorBot,0.0,Bot
vis-bot,100.0,Bot
algoliareadmebot,0.0,Bot
dpebot,44.0,Bot
pantheon-ci-bot,86.3406408094435,Bot
omex-github-bot-internal,0.0,Bot
sre-bot,0.0,Bot
alluxio-bot,1.3930348258706469,Bot
che-bot,2.857142857142857,Bot
submariner-bot,0.0,Bot
openshift-azure-robot,0.0,Bot
tedium-bot,0.0,Bot
jenkins-x-bot,0.0,Bot
metamaskbot,4.477611940298507,Bot
ibmdotcom-bot,0.0,Bot
Favware-bot,0.0,Bot
dotnet-maestro-bot,0.0,Bot
dhis2-bot,0.0,Bot
edx-transifex-bot,0.0,Bot
ng-zorro-bot,0.0,Bot
mender-test-bot,0.0,Bot
StepFunctions-Bot,0.0,Bot
yarpcbot,0.0,Bot
ucloud-bot,46.15384615384615,Bot
aporeto-bot,0.0,Bot
INGIbot,96.29629629629629,Bot
skydive-bot,100.0,Bot
dictybasebot,71.42857142857143,Bot
asanabot,90.9090909090909,Bot
babel-bot,0.0,Bot
Codegnosis,100.0,Bot
thecodeholic,90.9090909090909,Bot
mesosphere-frontend-ci,0.0,Bot
appserver-ci,100.0,Bot
chainer-ci,0.0,Bot
build-travis-ci,0.0,Bot
shiftjs-circleci,0.0,Bot
jdroid-ci,0.0,Bot
livingdocs-automation,0.0,Bot
yoshi-automation,0.0,Bot
opa-updater-automation,0.0,Bot
AutorestCI,0.6329113924050633,Bot
scrutinizer-auto-fixer,0.0,Bot
openapi-sdkautomation,0.0,Bot
aws-cdk-automation,18.27852998065764,Bot
bors-libra,0.0,Bot
octokit-fixture-user-a,0.0,Bot
PRB0t,0.0,Bot
mayerm94,0.0,Bot
sebbo2002,15.789473684210526,Bot
brotherlogic,48.214285714285715,Human
miki725,66.66666666666666,Human
mikedidomizio,95.1219512195122,Human
shiatsumat,0.0,Human
wti806,53.333333333333336,Human
FrankD412,11.450381679389313,Human
ramya-rao-a,20.0,Human
yu199195,7.142857142857142,Human
cjermain,3.8461538461538463,Human
ericchiang,48.38709677419355,Human
facundovictor,6.666666666666667,Human
SamHames,12.121212121212121,Human
edsu,0.0,Human
tkishel,0.0,Human
DavidS,41.17647058823529,Human
normj,0.0,Human
maxwellgerber,0.0,Human
tschaub,4.25531914893617,Human
wuxudong,0.0,Human
siddontang,49.056603773584904,Human
amyadzuki,31.57894736842105,Human
thomasp85,0.0,Human
y-takey,50.0,Human
corinnekrych,64.28571428571429,Human
raipc,68.75,Human
cbrevik,14.285714285714285,Human
yurishkuro,27.659574468085108,Human
callum-oakley,9.090909090909092,Human
JesperLekland,64.70588235294117,Human
GSadee,68.0,Human
s0md3v,93.33333333333333,Human
cjelger,37.5,Human
ralphbean,38.59649122807017,Human
chshersh,20.51282051282051,Human
slok,67.44186046511628,Human
yesmeck,50.0,Human
nitzanj,91.39784946236558,Human
erikandre,0.0,Human
duncdrum,20.0,Human
nihalgonsalves,50.0,Human
captn3m0,30.851063829787233,Human
rsmekala,33.33333333333333,Human
bricesanchez,28.671328671328673,Human
chuanshuoye,62.16216216216216,Human
SamVerschueren,4.761904761904762,Human
peterbroadhurst,16.666666666666664,Human
jonathanswong,78.57142857142857,Human
rhelmot,28.57142857142857,Human
redgeoff,98.87640449438202,Human
justinlittman,12.0,Human
jsemler,0.0,Human
smithad15,35.714285714285715,Human
jancajthaml,96.09756097560975,Human
objective-audio,86.36363636363636,Human
xh3b4sd,31.57894736842105,Human
joelrebel,32.89473684210527,Human
yangjianzhou,0.0,Human
jeffgbutler,36.627906976744185,Human
Kiikurage,67.62402088772846,Human
GaoJiasheng,90.0,Human
Zales0123,36.58536585365854,Human
faisalman,0.0,Human
HazAT,31.944444444444443,Human
swissspidy,33.33333333333333,Human
salgum1114,49.152542372881356,Human
kkoumantaros,60.0,Human
wnxn,28.431372549019606,Human
gbastien,9.090909090909092,Human
sbinet,22.58064516129032,Human
agelostsal,37.5,Human
DvdMgr,9.090909090909092,Human
springmeyer,12.5,Human
qjouda,100.0,Human
jaumard,37.5,Human
mnocon,8.695652173913043,Human
ciscoheat,14.285714285714285,Human
rasmuserik,43.61233480176212,Human
ElRaptorus,0.0,Human
mosquito,83.78378378378379,Human
aokumasan,0.0,Human
snoyberg,26.08695652173913,Human
auvipy,95.83333333333334,Human
decadence,0.0,Human
NickNeck,67.08860759493672,Human
cmswalker,30.555555555555557,Human
alvarotrigo,15.384615384615385,Human
galvesribeiro,100.0,Human
syndbg,66.66666666666666,Human
iwasaki-kenta,62.5,Human
hSaria,94.23076923076923,Human
scottbedard,20.0,Human
LukeTowers,0.0,Human
jaredallard,12.5,Human
wonderflow,31.944444444444443,Human
csoltenborn,50.0,Human
s-nakajima,73.7556561085973,Human
rminnich,14.102564102564102,Human
gsmet,14.355231143552311,Human
jmrodri,54.166666666666664,Human
markya0616,89.13043478260869,Human
fredwangwang,8.695652173913043,Human
ClaraBuettner,37.9746835443038,Human
doug-martin,16.304347826086957,Human
askurydzin,40.0,Human
ai,0.0,Human
w0rm,23.52941176470588,Human
alshakero,13.333333333333334,Human
daviscabral,3.571428571428571,Human
aksonov,3.0303030303030303,Human
kud,83.33333333333334,Human
vieron,100.0,Human
silasdavis,28.205128205128204,Human
tophsic,0.0,Human
sfriedel,0.0,Human
chris-ramon,10.0,Human
bootstraponline,33.33333333333333,Human
visualfc,15.606936416184972,Human
cordoval,20.0,Human
stephpy,37.5,Human
mhchia,2.564102564102564,Human
revolunet,0.0,Human
dingo-d,12.0,Human
TriangleJuice,62.68656716417911,Human
mhallin,0.0,Human
alimanfoo,47.368421052631575,Human
Namiii,8.108108108108109,Human
nuxzero,52.0,Human
soffchen,50.0,Human
BryanApellanes,95.6989247311828,Human
drewsonne,61.60714285714286,Human
gregberge,33.980582524271846,Human
sixer1182,64.51612903225806,Human
kortschak,0.0,Human
oberbichler,98.34710743801654,Human
gfinak,42.857142857142854,Human
andrewimm,15.384615384615385,Human
jdolitsky,4.761904761904762,Human
mykola-mokhnach,16.25,Human
scottcorgan,33.33333333333333,Human
sawanoboly,47.14285714285714,Human
Rikkola,18.51851851851852,Human
jongmoon,0.0,Human
jcraigk,15.789473684210526,Human
Arkounay,73.33333333333333,Human
integrii,30.76923076923077,Human
shockey,28.947368421052634,Human
jaqx0r,63.95348837209303,Human
bartoszpietrzak1994,45.45454545454545,Human
sequoiaat,55.55555555555556,Human
kinggoesgaming,2.34375,Human
antleblanc,7.6923076923076925,Human
jrobeson,0.0,Human
lucaslorentz,22.666666666666664,Human
ruimarinho,49.122807017543856,Human
Martin0809,98.66666666666667,Human
tomkerkhove,10.0,Human
cycjimmy,46.15384615384615,Human
vlttnv,78.26086956521739,Human
Gbuomprisco,87.30964467005076,Human
ueokande,60.0,Human
ondrej-fabry,42.66666666666667,Human
DjebbZ,22.22222222222222,Human
MortalFlesh,95.45454545454545,Human
maciejtreder,86.54545454545455,Human
dcousens,20.0,Human
ekohl,26.08695652173913,Human
marjan-georgiev,0.0,Human
tartley,0.0,Human
junderw,5.88235294117647,Human
nicolaasuni,23.809523809523807,Human
ankurs,86.66666666666667,Human
SML-MeSo,41.02564102564102,Human
plazma-prizma,96.55172413793103,Human
smoke,70.58823529411765,Human
taku910,96.99248120300751,Human
euvl,52.94117647058824,Human
serpentcs-dev1,25.0,Human
dbaeumer,70.83333333333334,Human
deepakkumar1984,100.0,Human
PuercoPop,6.25,Human
davazp,29.03225806451613,Human
kevinmehall,11.11111111111111,Human
Tasteful,6.0606060606060606,Human
anntzer,10.0,Human
icy,33.33333333333333,Human
skyesx,38.23529411764706,Human
dreampiggy,0.0,Human
gavinorland,11.428571428571429,Human
bailantaotao,100.0,Human
fooontic,65.0,Human
cuining,91.02564102564102,Human
ajayns,17.307692307692307,Human
PabloGarcimartin,11.11111111111111,Human
dborsatto,100.0,Human
ltparis2018,50.0,Human
JimGreenberg,0.0,Human
MindFlavor,34.51327433628318,Human
sohamkamani,33.33333333333333,Human
italolelis,0.0,Human
rShetty,100.0,Human
bgrainger,19.491525423728813,Human
tarampampam,8.823529411764707,Human
allencloud,0.0,Human
genomics-geek,0.0,Human
ymmt2005,50.0,Human
vmarkovtsev,55.00000000000001,Human
dhollinger,50.0,Human
amay077,13.861386138613863,Human
schweitzdesign,38.73873873873874,Human
