Bot,Humain
30.0,59.5
78.0,73.5
83.0,41.0
81.0,67.0
95.0,26.0
91.0,23.0
83.0,64.0
95.0,26.0
85.0,31.0
22.0,63.0
,65.5
,68.0
,39.0
,34.0
,64.0
,54.0
,21.5
,26.0
,53.0
,30.0
,76.0
,38.0
,32.5
,61.0
,53.5
,55.5
,26.0
,19.0
,30.0
,26.0
,21.0
,35.0
,68.5
,35.0
,59.5
,57.0
,48.5
,22.0
,30.0
,23.0
,36.5
,21.0
,31.0
,27.0
,30.0
,11.0
,67.0
,41.0
,16.5
,74.0
,58.5
,32.0
,34.0
,57.0
,1.0
,36.0
,47.0
,30.0
,43.0
,16.5
,60.5
,30.0
,63.5
,67.0
,57.0
,34.0
,41.0
,89.0
,51.5
,65.0
,27.5
,28.5
,23.0
,21.5
,69.0
,66.0
,40.0
,37.0
,94.0
,32.0
,33.0
,23.0
,24.5
,41.0
,32.5
,40.0
,39.0
,64.5
,12.0
,38.5
,41.0
,63.5
,37.5
,50.0
,27.0
,27.0
,62.0
,31.0
,34.0
,63.5
,39.5
,33.0
,36.0
,38.5
,53.5
,65.5
,28.0
,27.0
,72.0
,37.0
,38.0
,64.5
,65.5
,36.0
,41.0
,31.0
,23.0
,38.0
,36.5
,64.5
,23.0
,62.5
,58.0
,32.0
,62.5
,36.0
,29.0
,34.0
,66.5
,51.5
,35.0
,60.5
,27.0
,34.0
,50.0
,73.5
,32.0
,27.0
,60.5
,30.5
,71.5
,27.0
,66.5
,24.0
,66.0
,86.5
,27.0
,33.0
,66.5
,31.0
,71.5
,36.0
,56.0
,32.5
,63.5
,68.5
,35.5
,31.0
,24.0
,66.0
,34.0
,67.5
,36.0
,28.0
,20.0
,36.0
,30.0
,71.0
,58.0
,60.5
,30.0
,34.0
,52.5
,28.0
,29.5
,31.5
,29.0
,60.0
,30.0
,23.0
,50.0
,21.0
,39.0
,65.5
,54.5
,32.0
,34.0
,34.0
,30.0
,30.0
,33.5
,56.0
,33.5
,100.0
,57.0
,32.0
,60.0
,36.0
,44.0
,33.0
,33.0
,34.0
,66.0
,29.0
,31.0
,55.0
,29.0
,26.0
,34.5
,31.5
,24.0
,34.0
,35.0
,35.0
,33.0
,34.0
,36.0
,39.5
,53.0
,32.0
,31.0
,41.0
,21.0
,27.0
,56.5
,27.0
,29.0
,62.5
,37.0
,70.0
,72.5
,68.0
,33.0
,63.5
,32.0
,28.0
,29.5
,40.0
,39.0
,34.5
,30.0
,54.5
,24.0
,35.0
,29.5
,28.0
,24.0
,26.0
,33.5
,66.0
,36.0
,25.0
,31.5
,31.0
,40.0
,37.0
,29.0
,67.0
,25.0
,29.0
,58.0
,68.0
,31.0
,32.0
,29.0
,33.5
,42.0
,28.0
,34.0
,24.0
,20.0
,65.5
,30.0
,32.0
,22.5
,45.0
,31.5
,70.5
,69.0
,39.0
,41.0
,31.0
,69.0
,27.0
,60.5
,53.0
,66.0
,13.5
,40.0
,40.0
,33.0
,59.0
,26.0
,60.0
,60.5
,41.0
,62.0
,34.0
,37.0
,36.0
,31.0
,35.0
,27.0
,41.0
,56.0
,27.5
,36.0
,29.5
,24.0
,29.0
,30.0
,33.0
,36.0
,32.0
,27.5
,60.5
,86.5
,68.5
,30.5
,35.0
,43.0
,96.0
,66.5
,30.0
,71.0
,31.0
,29.0
,31.0
,32.5
,29.0
,36.0
,68.5
,41.0
,32.0
,42.0
,39.0
,60.0
,34.0
,40.0
,25.0
,59.0
,72.5
,30.0
,38.0
,39.5
,40.0
,71.5
,34.0
,23.0
,35.0
,62.5
,100.0
,25.0
,40.0
,29.5
,32.0
,93.0
,32.0
,22.0
,61.0
,53.0
,36.5
,33.0
,33.0
,56.0
,69.5
,18.0
,35.5
,38.0
,39.0
,66.0
,65.5
,70.0
,40.0
,26.0
,34.0
,32.0
,30.5
,26.0
,34.0
,30.0
,63.5
,34.0
,36.5
,26.0
,36.0
,34.0
,100.0
,23.0
,32.0
,27.0
,31.0
,29.0
,71.0
,30.0
,61.0
