Bot,Humain
1.0,18.0
1.0,5.0
1.0,2.0
11.0,2.0
1.0,1.0
1.0,1.0
1.0,5.0
2.0,3.0
1.0,2.0
2.0,4.0
2.0,3.0
1.0,7.0
3.0,4.0
1.0,3.0
15.0,4.0
56.0,2.0
2.0,5.0
7.0,5.0
2.0,1.0
1.0,4.0
1.5,26.0
2.0,4.0
4.0,3.0
1.0,4.0
1.0,4.0
2.0,1.0
2.0,3.0
2.0,4.0
2.0,3.0
2.0,4.0
4.0,5.0
3.0,5.0
1.0,2.0
1.0,2.0
1.0,3.0
2.0,7.0
4.0,4.0
1.0,5.0
2.0,4.0
3.0,2.0
2.0,2.0
1.0,4.0
2.0,8.0
1.0,6.0
2.0,1.0
2.0,4.0
1.0,2.0
1.0,4.0
1.0,3.0
1.0,7.0
1.0,2.0
1.0,3.0
1.0,5.0
20.0,6.0
2.5,1.0
1.0,3.0
7.0,1.0
3.0,4.0
1.0,7.0
1.0,9.0
1.0,4.0
6.0,1.0
13.0,3.0
3.0,4.0
1.0,2.0
1.0,5.0
1.0,2.0
1.0,5.0
2.0,11.0
1.0,2.0
2.0,2.0
1.0,2.0
5.0,7.0
1.0,6.0
4.0,5.0
2.0,2.0
1.0,3.0
1.0,8.0
6.0,1.0
1.0,3.0
1.0,2.0
1.0,2.0
1.0,5.0
3.0,20.0
1.0,3.0
1.0,2.0
1.0,7.0
1.0,3.0
1.0,3.0
1.0,1.0
9.0,3.0
2.0,6.0
1.5,3.0
1.0,3.0
268.0,2.0
1.0,4.0
7.0,4.0
1.0,8.0
2.0,6.0
1.0,4.0
1.0,8.0
1.0,5.0
4.0,5.0
1.0,2.0
1.0,7.0
1.0,3.0
1.0,10.0
2.0,3.0
1.0,3.0
4.0,2.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,11.0
1.0,3.0
4.0,3.0
3.0,1.0
6.0,3.0
1.0,5.0
2.0,3.0
11.0,2.0
1.5,2.0
1.0,2.0
2.0,3.0
2.0,4.0
1.0,3.0
1.0,7.0
1.0,3.0
3.0,4.0
1.0,2.0
2.0,2.0
1.0,7.0
7.0,5.0
7.0,3.0
1.0,3.0
2.0,4.0
2.0,5.0
2.0,2.0
1.0,2.0
1.0,1.0
9.0,3.0
1.0,5.0
2.0,1.0
8.0,3.0
1.0,9.0
1.0,5.0
1.0,3.0
3.0,8.0
1.0,2.0
13.0,2.0
1.0,2.0
4.0,3.0
1.0,6.0
2.0,6.0
1.0,2.0
5.0,1.0
1.0,5.0
1.0,2.0
3.0,4.0
1.0,4.0
2.0,5.0
1.0,4.0
2.0,1.0
2.0,2.0
1.0,2.0
4.0,8.0
1.0,3.0
1.5,2.0
1.0,3.0
1.0,2.0
1.0,2.0
1.0,6.0
2.0,3.0
1.0,3.0
2.0,5.0
2.0,4.0
4.0,4.0
4.0,2.0
2.0,3.0
15.0,3.0
1.0,4.0
1.0,8.0
1.0,2.0
1.0,2.0
2.0,2.0
4.0,5.0
1.0,2.0
3.5,3.0
1.0,3.0
2.0,8.0
2.0,2.0
1.0,1.0
1.0,5.0
1.0,2.0
1.0,5.0
1.0,2.0
1.0,1.0
1.5,5.0
3.0,4.0
1.0,1.0
1.0,5.0
2.0,6.0
1.0,1.0
3.0,3.0
1.0,2.0
2.0,2.0
4.0,2.0
3.0,2.0
5.0,3.0
1.0,7.0
1.0,3.0
1.0,3.0
6.0,3.0
1.0,4.0
1.0,2.0
5.0,5.0
1.0,2.0
1.0,3.0
1.0,3.0
1.0,3.0
4.0,4.0
1.0,4.0
1.0,8.0
1.0,2.0
4.0,3.0
1.0,2.0
1.0,5.0
1.0,3.0
1.0,4.0
2.0,1.0
1.0,6.0
4.0,2.0
1.0,4.0
1.0,3.0
2.0,2.0
3.0,9.0
1.0,1.0
3.0,2.0
1.0,9.0
1.0,7.0
4.0,3.0
1.0,6.0
1.0,4.0
2.0,2.0
1.0,2.0
1.0,7.0
2.0,4.0
4.0,6.0
6.0,4.0
1.0,2.0
1.0,6.0
1.0,8.0
1.0,2.0
1.0,3.0
1.0,4.0
2.0,7.0
2.0,1.0
46.0,5.0
1.0,6.0
2.0,2.0
1.0,3.0
4.0,6.0
10.0,3.0
2.0,7.0
1.0,15.0
1.0,4.0
6.0,2.0
2.0,9.0
1.0,2.0
12.0,3.0
1.0,2.0
5.0,4.0
2.0,2.0
2.0,3.0
2.0,3.0
2.0,2.0
2.0,5.0
1.5,2.0
1.0,2.0
1.0,3.0
1.0,5.0
1.0,3.0
2.0,2.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,2.0
1.0,1.0
2.0,3.0
1.0,3.0
1.5,5.0
1.0,4.0
1.0,3.0
1.0,5.0
1.0,5.0
1.0,2.0
1.0,1.0
6.0,2.0
2.0,2.0
1.0,3.0
1.0,3.0
1.0,2.0
2.0,7.0
2.0,1.0
1.0,2.0
1.0,3.0
3.0,14.0
3.0,3.0
1.0,4.0
2.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,7.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,10.0
1.0,3.0
1.0,2.0
1.0,7.0
3.0,2.0
3.0,7.0
1.0,2.0
2.0,2.0
1.0,6.0
2.0,4.0
1.0,1.0
2.0,4.0
9.0,2.0
3.0,4.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,2.0
2.0,4.0
1.0,4.0
14.0,8.0
4.0,1.0
1.0,1.0
3.0,1.0
4.0,4.0
1.0,3.0
4.0,5.0
2.0,3.0
1.0,4.0
1.0,3.0
2.0,8.0
4.0,2.0
1.0,3.0
1.5,4.0
1.0,4.0
5.0,3.0
1.0,4.0
1.0,1.0
1.0,3.0
7.0,3.0
1.0,7.0
3.0,3.0
2.0,2.0
1.0,6.0
1.0,1.0
2.0,1.0
1.0,1.0
20.0,2.0
2.0,2.0
9.0,1.0
1.0,4.0
3.0,3.0
8.0,3.0
4.0,2.0
4.0,2.0
1.0,6.0
2.0,5.0
1.0,2.0
5.0,1.0
1.0,7.0
1.0,4.0
1.0,3.0
1.0,1.0
1.0,2.0
2.0,5.0
1.0,2.0
1.0,5.0
1.0,3.0
2.0,3.0
1.0,5.0
2.0,3.0
5.0,1.0
,6.0
,3.0
,3.0
,4.0
,5.0
,2.0
,2.0
,4.5
,2.0
,3.0
,2.0
,2.0
,6.0
,3.0
,4.0
,2.0
,8.0
,3.0
,3.0
,4.0
,2.0
,1.0
,3.0
,2.0
,4.0
,3.0
,2.0
,3.0
,4.0
,2.0
