Bot,Humain
191,9
28,62
2,15
1,63
126,9
44,21
302,1199
1,1482
1,3
117,14
1,550
3,24
3,0
883,640
249,16
374,105
0,277
0,8
14,346
0,90
97,2782
306,1
0,2666
2,10
0,71
0,5
5,5
1,49
0,96
15,806
9,59
0,81
156,45
0,5614
3,41
21,18
129,268
2,458
70,337
90,1483
13,5
5,83
3,47
0,26
0,1432
9,2
0,57
5,8
0,50
1,627
3,12
1,0
0,292
65,118
45,64
17,5
15,15
30,60
40,3
4,31
0,47
3,33
0,4
3,101
5,69
0,147
21,70
1,245
5,143
2,392
4,70
7,12
1,11
94,15
2,44
1,693
5,5
1,57
3,951
0,15
7,105
6,3
1,76
0,36
0,8
8,176
4,24
0,1240
1,270
0,549
199,9
0,52
0,9
4,27
1,3237
0,100
0,172
3,360
96,7
1,75
5,237
574,107
1,126
0,381
0,13
0,6
0,243
0,186
0,37
0,348
1,36
1,9
5,97
6,0
1,182
32,2
0,6698
1,375
191,47
3,86
0,574
1,147
4,154
0,48
1,26
0,59
1,4
4,154
3,219
83,5150
1,814
4,313
1,133
4,172
15,928
0,106
5,8
0,59
0,217
7,6
1,20
0,142
0,76
0,10
0,30
6,10
0,8
0,1618
5,7
1,269
0,31
131,66
9,179
0,207
3,327
0,350
0,61
10,36
2,18
3,21
1,11
0,98
3,142
1,100
0,14
1,4
1,22
2,16
0,62
0,64
0,71
0,222
1,125
0,17
0,419
1,22
0,12
14,148
2,86
0,25
0,244
0,24
1,175
0,360
0,44
26,141
0,161
70,221
5,158
6,48
7,1
0,18
0,45
0,302
0,33
0,424
1,15
0,247
3,79
1,190
0,98
2,158
0,11
0,79
4,212
2,14
1,578
22,3
3,11
0,11
0,33
1,285
18,1
0,27
0,1
115,43
10,92
12,942
2,187
2,435
0,77
0,107
0,1337
1,24
10,157
0,472
0,10
0,173
0,4
4,1
4,61
5,10
16,4
0,729
4,38
8,54
0,234
5,9
8,207
0,3
5,0
5,112
1,139
5,6
3,5
1,11
15,27
4,144
1,7
5,1972
2,149
1,24
1,31
10,75
20,288
3,36
0,19
7,1165
0,11957
53,43
0,617
2,132
1,25
1,4
1,6
1,67
17,160
10,600
1,49
1,20
1,5057
3,818
0,350
17,10
1,52
19,72
3,125
3,15
4,2
1,314
0,7
0,174
0,196
0,67
0,51
0,6
0,0
0,20
57,11
0,294
1,14
0,38
1,17
0,20
0,12
0,42
0,155
1,73
0,16
1,13
0,60
1,26
1,277
11,74
0,25
0,18
0,8
2,367
37,130
5,62
840,108
0,369
1,71
0,1796
0,163
6,50
2,32
0,19
1,51
0,1
0,23
0,149
1,303
31,868
0,1251
0,61
25,1139
0,4
5,12
12,2147
93,15
7,5
2,291
8,90
1545,348
6,1
2,1
0,4
3,110
0,136
0,58
0,100
3,2
0,31
0,38
8,476
2,4
2,28
0,22
0,26
3,17
2,2
1,29
0,177
0,42
0,20
0,15
2,617
14,9
2,28
0,6
0,79
3,41
0,59
9,171
1,0
0,14
0,1
0,6
3,1
103,0
0,20
1,171
0,170
2,4
16,51
74,53
36,93
10,140
65,9
0,71
9,16
15,3533
7,27
13,30
8,832
7,46
0,2702
12,31
0,293
109,5603
7,185
2,66
3,87
1,93
96,60
7,873
0,88
0,2
1,40
0,2
0,102
18,580
0,442
0,1
187,638
,23
,30
,372
,86
,64
,45
,586
,2
,7
,75
,43
,119
,123
,3
,50
,1
,11
,2
,1
,16781
,6
,1980
,65
,10
,33
,85
,25
,0
,40
,2
,198
,92
,30
,389
,234
,0
,31
,509
,35
,2
,54
,60
,104
,325
,535
,61
,527
,6
,442
,47
,203
,100
,46
,195
,49
,4
,231
,37
,2
,80
,1
,20
,355
,835
,184
,1
,10
,1457
,4
,55
,27
,27
,3
,421
,1365
,93
,431
,83
,7
,390
,84
,39
,106
,8
,3
,5
,1
,2
,85
,66
,0
,25
,1
,31
,68
,99
,416
,55
,22
,6
,624
,3
,124
,37
,11342
,230
,57
,1919
,13
,3
,39
,9
,214
,16
,27
,206
,289
,22
,840
,6183
,24
,50
,125
,819
,61
,0
,20
,1
,56
,6
,17
,41
,2
,13
,14
,404
,23
,46
,985
,664
,9
,99
,5
,44
,4
,26
,124
,1
,2
,37
,50
,4
,484
,58
,96
,33
,28
,301
,8
,713
,12
,53
,5
,117
,92
,6
,2
,9
,6
,15
,0
,49
,17
,431
,239
,42
,15
,1
,234
,187
,282
,5
,232
,57
,642
,36
,24
,7
,6
,59
,61
,42
,90
,64
,149
,52
,21
,27
,64
,27
,37
,38
,469
,5511
,2553
,70
,17
,3
,7
,4
,1968
,597
,28
,46
,13
,75
,79
,106
,2086
,2
,261
,41
,3
,21
,3008
,39
,91
,150
,11
,17
,49
,50
,130
,8
,1060
,9
,228
,296
,35
,860
,16
,86
,435
,31
,33
,18
,19
,211
,181
,611
,32
,15
,14
,4
,51
,297
,15
,4426
,120
,392
,2
,14
,1818
,69
,96
,12893
,874
,250
,59
,33
,2
,74
,848
,2
,224
,4
,52
,25
,60
,1
,77
,201
,538
,1
,196
,83
,53
,235
,27
,338
,24
,59
,165
,156
,51
,0
,0
,31
,5
,301
,33
,2861
,0
,89
,491
,13
,21
,36
,47
,50
,22
,1
,3
,5
,40
,245
,65
,1
,0
,57
,311
,11882
,11
,1292
,0
,456
,80
,21
,103
,61
,15
,7
,178
,159
,36
,201
,137
,165
,4
,109
,196
,120
,267
,26
,58
,37
,25
,194
,3452
,6
,22
,0
,13
,160
,42
,0
,49
,12
,128
,37
,8
,36
,30
,1
,799
,1957
,80
,338
,382
,98
,16
,64
,15
,2
,145
,9
,74
,380
,1619
,139
,460
,203
,23
,77
,75
,289
,120
,88
,107
,25
,280
,763
,1001
,8
,176
,64
,41
,0
,3
,16
,10
,55
,17
,80
,64
,22
,8
,10
,1
,75
,8
,22
,771
,37
,16
,55
,46
,2422
,3
,2
,50
,1420
,7
,66
,5
,20
,18
,316
,135
,6
,21
,158
,77
,186
,25
,101
,65
,17
,107
