Bot,Humain
403.0,12530.0
6997180.0,38145.0
942218.0,12986.5
2849238.0,18680.0
390.0,31337.0
151.5,3042.0
5.0,194878.0
960.0,109581.0
139.0,25444.5
1770999.0,11627.5
1058.0,7688.5
5.0,3738.0
1.0,7336.0
2.0,52343.5
44041627.5,96203.5
267.5,60394.0
3.0,61936.0
474.0,26218.5
5.0,21962.0
3.0,2480.5
3846.5,59743.0
1.0,17885.0
36865.0,14873.0
1.0,4447.0
7.0,7285.0
579.0,140581.0
5.0,163085.0
7.0,7184.0
745.5,43032.5
21.0,26097.0
29766921.0,251046.0
1092.0,1848.5
30.5,6250.0
665.0,1467.0
85136.5,11711.5
3.0,48890.0
1574.0,37119.5
2595038.0,29074.0
2.0,527451.0
19452348.0,363717.0
5.0,1538.0
74.0,2872.0
184.0,141494.5
2.0,526652.0
388183.5,24556.0
481.0,67425.0
3143.0,79749.0
104.0,8411.5
6005.5,3258.5
575.0,2261.0
92.0,32921.5
1.0,3172.5
0.0,58893.0
2327600.0,1223451.0
1445107.5,3576.0
670.0,103.5
3.0,3537.5
252917.0,145455.0
31.0,18549.0
2.5,35316.0
4.5,12925.5
162.0,1546966.0
2592063.0,9366.0
2.0,876184.0
10100.0,57466.0
288.0,743.0
4519527.0,68531.5
29.0,120566.0
260.5,110512.5
3.0,40945.0
91.0,6053.5
582.0,11993.0
1.5,115815.0
212854.0,12524.5
13052.5,35293.0
1773164.0,1172.5
3608.0,2475.0
218537.0,9671.0
30945.0,14583.0
16.0,722.5
200.5,50271.0
14.0,6141.0
9.0,10107.5
12.0,363010.0
2.0,50019.0
759.5,19025.5
20.0,53659.0
17179.0,46555.5
536881.0,27704.0
28226284.0,8427.0
90.0,19527.0
396075.0,34542.5
31.5,4506431.0
30455.5,2773.0
14027.0,33742.0
1124.0,20720.0
689.0,34111.0
338.5,5916.0
5272255.0,10578.5
1448.0,38251.5
52.0,153323.0
127.0,10158.0
91.0,8868.5
161.0,21580.0
58.0,1951.5
401.0,3684.0
28155.0,29245.0
260147.0,18884.0
7249.0,70594.0
4254753.0,625765.5
151862.0,71326.5
345807.0,224.0
1208920.0,5917.0
722.5,16505.0
416.0,17556.0
1297392.0,19207.5
3.0,788.0
40442250.0,1482078.0
1219.5,26562.0
43.0,8754.0
907.0,2202.5
53536.5,17395.5
3794618.0,42859.5
31267.0,657.0
4.0,27304.0
3251.0,24126.5
15.0,533.0
1108410.0,3228.0
2.0,80367.0
2517346.0,10270.0
517406.0,1677172.5
69.0,3129931.0
118591.0,120834.0
604819.5,32824.0
63604.0,1612.0
12385700.0,3433.0
146.0,560.5
492268.5,20775.0
21.0,678814.0
145.5,70950.5
1.0,127231.0
7.5,75517.5
1678864.5,138222.0
2.0,217027.0
4834.0,8371.0
797.0,47485.0
580.0,23439.0
