Compte,lev,Type
cf-gitbot,98.0,Bot
stale,100.0,Bot
k8s-ci-robot,78.0,Bot
whulshof,28.0,Bot
fejta-bot,90.0,Bot
lock,100.0,Bot
0crat,38.0,Bot
rultor,68.0,Bot
miq-bot,100.0,Bot
dsmjs-bot,100.0,Bot
hn-bot,99.0,Bot
watson-github-bot,99.0,Bot
openshift-ci-robot,99.0,Bot
openshift-bot,88.0,Bot
kubevirt-bot,55.0,Bot
HT2Bot,100.0,Bot
caicloud-bot,55.0,Bot
gaugebot,94.0,Bot
semantic-release-bot,98.0,Bot
atomist-bot,75.0,Bot
moltinbot,82.0,Bot
jetstack-bot,98.5,Bot
sailsbot,99.0,Bot
yii-bot,54.0,Bot
greenkeeperio-bot,98.0,Bot
oclif-bot,99.0,Bot
jekyllbot,100.0,Bot
styleguidist-bot,98.0,Bot
mike-north-bot,100.0,Bot
shaka-bot,87.0,Bot
qiwibot,96.0,Bot
hawkbit-bot,100.0,Bot
electron-bot,99.0,Bot
angular-automatic-lock-bot,100.0,Bot
travi-bot,99.0,Bot
probot-shopify,100.0,Bot
knative-prow-robot,74.0,Bot
ApiaryBot,99.0,Bot
go-cloud-bot,100.0,Bot
react-native-community-bot,99.0,Bot
adobe-bot,98.0,Bot
owo-bot,94.0,Bot
form8ion-bot,100.0,Bot
pouchrobot,74.0,Bot
realm-probot,99.0,Bot
commitizen-bot,99.5,Bot
kubermatic-bot,79.0,Bot
ladybugbot,98.0,Bot
sourcegraph-bot,100.0,Bot
whateverbot,98.0,Bot
acs-bot,85.0,Bot
gitmate-bot,100.0,Bot
sofastack-bot,57.0,Bot
vis-bot,98.0,Bot
concourse-bot,91.0,Bot
IssueHuntBot,97.0,Bot
nativescript-vue-bot,100.0,Bot
metal3-io-bot,52.0,Bot
karmarunnerbot,98.0,Bot
sre-bot,31.0,Bot
knative-test-reporter-robot,59.0,Bot
hospitalrunbot,98.0,Bot
zorro-bot,32.0,Bot
msft-github-bot,34.0,Bot
cypress-bot,44.0,Bot
che-bot,100.0,Bot
istio-policy-bot,100.0,Bot
tekton-robot,56.0,Bot
openshift-azure-robot,81.0,Bot
pfn-ci-bot,88.0,Bot
pull-bot,100.0,Bot
webpack-bot,100.0,Bot
jenkins-x-bot,64.0,Bot
metamaskbot,96.0,Bot
PWAStudioBot,36.0,Bot
dhis2-bot,99.0,Bot
tykbot,84.0,Bot
status-github-bot,100.0,Bot
ng-zorro-bot,95.0,Bot
weex-bot,100.0,Bot
cozy-bot,97.0,Bot
google-oss-bot,52.0,Bot
botcerts,100.0,Bot
nockbot,97.0,Bot
retest-bot,87.0,Bot
ross-bott,100.0,Bot
MidLevel-Bot,99.0,Bot
hacs-bot,100.0,Bot
gitcoinbot,47.0,Bot
oni-bot,100.0,Bot
open-collective-bot,88.0,Bot
jw-issue-bot,50.0,Bot
tessel-crashbot,97.0,Bot
vscodebot,100.0,Bot
aio-libs-bot,73.0,Bot
issue-label-bot,98.0,Bot
appsflyerbot,100.0,Bot
knative-housekeeping-robot,99.0,Bot
matts-bot,100.0,Bot
taro-ui-bot,31.0,Bot
assemblebot,97.0,Bot
robotccm,66.0,Bot
egg-bot,29.0,Bot
babel-bot,34.0,Bot
QacoBot,72.0,Bot
devtools-bot,100.0,Bot
taro-bot,84.0,Bot
yarnbot,24.0,Bot
glassfishrobot,44.0,Bot
gitpod-io-legacy-app,99.0,Bot
az-iot-builder-01,96.0,Bot
prettyCoders,30.0,Bot
ddes-ci,100.0,Bot
nexus-ci,97.0,Bot
stencila-ci,96.0,Bot
infinitered-circleci,98.0,Bot
hft-team-city,93.0,Bot
