Compte,lev,Type
coveralls,73.0,Bot
renovate,100.0,Bot
leocwlam,98.5,Bot
fabric8cd,100.0,Bot
codecov,73.0,Bot
codecov-io,85.0,Bot
ant-design-bot,76.0,Bot
facebook-github-bot,45.0,Bot
jnpr-community-netdev,40.0,Bot
dependabot-preview,89.0,Bot
ezrobot,48.0,Bot
thelinuxfoundation,98.0,Bot
Hibernate-CI,100.0,Bot
cf-gitbot,98.0,Bot
stale,100.0,Bot
scrutinizer-notifier,84.0,Bot
googlebot,36.0,Bot
bors,59.0,Bot
k8s-ci-robot,79.0,Bot
tessel-bot,99.0,Bot
resin-io-modules-versionbot,95.0,Bot
cfdreddbot,88.0,Bot
haikuoliu,30.5,Bot
manifold-listbot,100.0,Bot
CLAassistant,99.0,Bot
gopherbot,37.0,Bot
old-fusion-bot,40.0,Bot
aviary2-wf,61.0,Bot
jayudey-wf,32.0,Bot
Szetty,72.5,Bot
pravesh-a,41.0,Bot
stakater-user,87.0,Bot
pivotal-issuemaster,57.0,Bot
ScreensBot,90.0,Bot
pyup-bot,93.0,Bot
oca-clabot,82.0,Bot
whulshof,80.5,Bot
fejta-bot,84.0,Bot
GordonTheTurtle,94.0,Bot
lock,100.0,Bot
gatsbot,67.0,Bot
0crat,49.0,Bot
rultor,61.0,Bot
jsf-clabot,98.0,Bot
dependencies,98.0,Bot
devOpsHazelcast,100.0,Bot
theopenlab-ci,64.0,Bot
genie-jnosql,100.0,Bot
ukp-svc-jenkins,96.0,Bot
miq-bot,38.0,Bot
travix-frontend-services,82.0,Bot
slnode,54.0,Bot
coreosbot,100.0,Bot
dsmjs-bot,99.0,Bot
hn-bot,97.0,Bot
Johns-CI-Bot,77.0,Bot
bors-servo,31.0,Bot
watson-github-bot,98.0,Bot
openshift-ci-robot,83.0,Bot
datastax-bot,82.0,Bot
istio-testing,97.0,Bot
openshift-bot,31.0,Bot
kubevirt-bot,55.0,Bot
astropy-bot,98.0,Bot
HT2Bot,98.0,Bot
cmsdmwmbot,33.0,Bot
hubotbot,99.0,Bot
caicloud-bot,38.0,Bot
react-tether-bot,99.0,Bot
vmwclabot,91.0,Bot
grape-bot,76.0,Bot
AppVeyorBot,90.0,Bot
nfbot,100.0,Bot
octokitbot,98.0,Bot
gaugebot,98.0,Bot
semantic-release-bot,97.0,Bot
atomist-bot,89.0,Bot
moltinbot,99.0,Bot
mysql-oca-bot,48.0,Bot
resin-io-versionbot,91.0,Bot
netty-bot,100.0,Bot
etcd-bot,100.0,Bot
jetstack-bot,44.0,Bot
sailsbot,34.0,Bot
ConfluentCLABot,65.0,Bot
lucas-bot,54.0,Bot
zcabot,100.0,Bot
yii-bot,100.0,Bot
doppins-bot,96.0,Bot
salte-bot,98.0,Bot
mongoid-bot,83.0,Bot
greenkeeperio-bot,98.0,Bot
sourcelevel-bot,65.0,Bot
oclif-bot,99.0,Bot
ualbertalib-bot,93.0,Bot
windupgithubbot1,52.0,Bot
cb-sdk-robot,42.0,Bot
p1bot,93.0,Bot
testcafe-build-bot,84.0,Bot
lintr-bot,72.0,Bot
sgopsbot,94.0,Bot
forge-bot,71.0,Bot
eclipse-lsp4j-bot,100.0,Bot
soloio-bot,97.0,Bot
doorkeeper-bot,81.0,Bot
stoplight-bot,98.0,Bot
styleguidist-bot,98.0,Bot
omnius-bot,99.0,Bot
mike-north-bot,100.0,Bot
TDSBot,100.0,Bot
shaka-bot,39.0,Bot
qiwibot,97.0,Bot
OCA-git-bot,34.0,Bot
hawkbit-bot,23.0,Bot
electron-bot,99.0,Bot
parity-cla-bot,91.0,Bot
angular-automatic-lock-bot,100.0,Bot
devicekit-danger-bot,63.0,Bot
OdysseusBot,100.0,Bot
mister-roboto,98.0,Bot
travi-bot,88.0,Bot
TPRobots,99.0,Bot
SupportClass-bot,98.0,Bot
probot-shopify,72.0,Bot
knative-metrics-robot,71.0,Bot
knative-prow-robot,92.0,Bot
ApiaryBot,98.0,Bot
go-cloud-bot,100.0,Bot
vue-bot,95.0,Bot
react-native-community-bot,99.0,Bot
msftbot,80.0,Bot
adobe-bot,98.0,Bot
edx-requirements-bot,100.0,Bot
5iMON-bot,99.0,Bot
uias-bot,85.0,Bot
form8ion-bot,98.0,Bot
Rozebot,100.0,Bot
spinnakerbot,59.0,Bot
fn-bot,80.0,Bot
kyma-bot,43.0,Bot
wmfs-bot,99.0,Bot
changeset-bot,56.0,Bot
gpii-bot,56.0,Bot
upbound-bot,93.0,Bot
landscape-bot,82.0,Bot
watermarkchurch-bot,100.0,Bot
openshift-cherrypick-robot,86.0,Bot
lonabot,78.0,Bot
pluscodebot,18.0,Bot
lighthousebot,99.0,Bot
pouchrobot,39.0,Bot
raizlabs-oss-bot,82.0,Bot
jujubot,99.0,Bot
khanbot,96.0,Bot
brototyp-bot,74.0,Bot
ArduinoBot,99.0,Bot
realm-probot,100.0,Bot
generic-probot-app-workflow,80.0,Bot
commitizen-bot,99.0,Bot
symfony-bot,100.0,Bot
blueprint-bot,89.0,Bot
gain-bot,99.0,Bot
cla-bot,47.0,Bot
Staffbot,33.0,Bot
theforeman-bot,71.0,Bot
FeedjiraBot,83.0,Bot
michaelhsu-bot,83.0,Bot
GK-keeper-bot,100.0,Bot
fozzie-bot,67.0,Bot
dependabot,84.0,Bot
kubermatic-bot,45.0,Bot
ladybugbot,97.0,Bot
toptal-bot,100.0,Bot
solo-git-bot,93.0,Bot
sourcegraph-bot,99.0,Bot
jbosstm-bot,30.0,Bot
zaripych-bot,98.0,Bot
whateverbot,98.0,Bot
azuresdkciprbot,99.0,Bot
tm-github-bot,98.0,Bot
eclipse-milo-bot,100.0,Bot
ks-ci-bot,100.0,Bot
capistrano-bot,80.5,Bot
rails-bot,100.0,Bot
acs-bot,100.0,Bot
gitmate-bot,100.0,Bot
getsentry-bot,78.0,Bot
dangerpr-bot,99.0,Bot
OpenCombineBot,90.0,Bot
traverson-bot,97.0,Bot
sofastack-bot,91.0,Bot
workbox-pr-bot,72.0,Bot
MagicMirrorBot,100.0,Bot
vis-bot,98.0,Bot
dingwilsonbot,99.0,Bot
ticobotbot,100.0,Bot
optibot,100.0,Bot
bens-danger-bot,95.0,Bot
webhookbotuser,100.0,Bot
runnabot,92.0,Bot
concourse-bot,91.0,Bot
thumbot,81.0,Bot
mention-bot,87.0,Bot
algoliareadmebot,100.0,Bot
rktbot,100.0,Bot
hpcugentbot,57.0,Bot
salesforce-ux-bot,77.0,Bot
helpfulrobot,89.0,Bot
xamarin-cla-bot,92.0,Bot
bsn-bot3,25.0,Bot
eslintbot,76.0,Bot
nativescript-vue-bot,100.0,Bot
pantheon-ci-bot,99.0,Bot
metal3-io-bot,43.0,Bot
reactorbot,94.0,Bot
google-oss-robot,89.0,Bot
LottieSnapshotBot,77.0,Bot
truecar-cla-bot,75.0,Bot
kubermatic-triage-bot,99.0,Bot
cloudwanbot,88.0,Bot
karmarunnerbot,41.0,Bot
sizebot,68.0,Bot
amp-owners-bot,49.0,Bot
sre-bot,100.0,Bot
bedevere-bot,30.0,Bot
42bot,94.0,Bot
knative-test-reporter-robot,56.0,Bot
flinkbot,36.0,Bot
elasticsearch-bot,100.0,Bot
hospitalrunbot,99.0,Bot
zorro-bot,93.0,Bot
msft-github-bot,83.0,Bot
theguild-bot,90.0,Bot
dlang-bot,58.0,Bot
jwplayer-robot,100.0,Bot
mui-pr-bot,63.0,Bot
alluxio-bot,37.0,Bot
agones-bot,91.0,Bot
cargo-dep-bot,51.0,Bot
bugsnagbot,92.0,Bot
cypress-bot,100.0,Bot
hasura-bot,97.0,Bot
che-bot,98.0,Bot
submariner-bot,53.0,Bot
istio-policy-bot,44.0,Bot
tekton-robot,83.0,Bot
pfn-ci-bot,80.0,Bot
pull-bot,70.0,Bot
webpack-bot,52.0,Bot
nacho-bot,70.0,Bot
jenkins-x-bot,81.0,Bot
bits-bot,98.0,Bot
metamaskbot,64.0,Bot
syndesisio-bot,93.0,Bot
ibmdotcom-bot,77.0,Bot
PWAStudioBot,49.0,Bot
vtex-io-docs-bot,99.0,Bot
ngrxbot,83.0,Bot
airbnb-bot,42.0,Bot
dotnet-maestro-bot,74.0,Bot
solo-changelog-bot,97.0,Bot
pdfjsbot,20.0,Bot
swift-server-bot,100.0,Bot
dhis2-bot,98.0,Bot
ompiteam-bot,34.0,Bot
explosion-bot,99.0,Bot
callstack-bot,95.0,Bot
bundlerbot,30.0,Bot
nusmods-deploy-bot,77.0,Bot
pirate-bot,99.0,Bot
docusaurus-bot,83.0,Bot
tykbot,31.0,Bot
edx-transifex-bot,93.0,Bot
rh-atomic-bot,32.0,Bot
status-github-bot,99.0,Bot
idealbot,99.0,Bot
mender-test-bot,61.0,Bot
weex-bot,49.0,Bot
mdc-web-bot,34.0,Bot
daisy-bot,65.0,Bot
aws-afr-bot,100.0,Bot
kubevirt-commenter-bot,100.0,Bot
cozy-bot,98.0,Bot
backpackbot,79.0,Bot
google-oss-bot,100.0,Bot
sagemaker-bot,94.0,Bot
StepFunctions-Bot,91.0,Bot
botcerts,99.0,Bot
nockbot,97.0,Bot
retest-bot,62.0,Bot
fusionjs-sync-bot,36.0,Bot
janusgraph-bot,100.0,Bot
ross-bott,100.0,Bot
