Compte,lev,Type
leocwlam,26.0,Bot
Hibernate-CI,100.0,Bot
bors,29.0,Bot
haikuoliu,100.0,Bot
jayudey-wf,27.5,Bot
CFPBot,100.0,Bot
ININ-TransifexAutomation,100.0,Bot
pravesh-a,100.0,Bot
stakater-user,100.0,Bot
holinnn,38.0,Bot
pyup-bot,100.0,Bot
rultor,100.0,Bot
svc-excavator-bot,100.0,Bot
bors-servo,27.0,Bot
openshift-bot,100.0,Bot
ForbesLindesay-Bot,100.0,Bot
nfbot,0.0,Bot
octokitbot,4.0,Bot
atomist-bot,100.0,Bot
jetstack-bot,32.0,Bot
omnisharp-bot,100.0,Bot
doppins-bot,100.0,Bot
dep-bot,100.0,Bot
greenkeeperio-bot,100.0,Bot
oclif-bot,68.0,Bot
kissaten-bot,100.0,Bot
jekyllbot,100.0,Bot
testcafe-build-bot,100.0,Bot
forge-bot,100.0,Bot
shaka-bot,92.5,Bot
qiwibot,60.0,Bot
OCA-git-bot,100.0,Bot
monty-bot,16.0,Bot
OdysseusBot,17.0,Bot
edx-requirements-bot,100.0,Bot
prombot,100.0,Bot
5iMON-bot,100.0,Bot
wmfs-bot,55.0,Bot
voidraybot,100.0,Bot
pouchrobot,100.0,Bot
jujubot,40.0,Bot
AgoricBot,100.0,Bot
coorpacademybot,50.0,Bot
Staffbot,35.0,Bot
GK-keeper-bot,96.0,Bot
eclipse-jaxb-impl-bot,100.0,Bot
ladybugbot,100.0,Bot
mainio-integration-bot,100.0,Bot
eclipse-milo-bot,100.0,Bot
getsentry-bot,100.0,Bot
algoliareadmebot,100.0,Bot
salesforce-ux-bot,65.0,Bot
dpebot,100.0,Bot
pantheon-ci-bot,13.5,Bot
metal3-io-bot,33.0,Bot
omex-github-bot-internal,20.0,Bot
karmarunnerbot,100.0,Bot
sre-bot,71.5,Bot
hospitalrunbot,36.0,Bot
msft-github-bot,62.0,Bot
theguild-bot,100.0,Bot
dlang-bot,54.0,Bot
alluxio-bot,42.0,Bot
hasura-bot,72.0,Bot
che-bot,100.0,Bot
submariner-bot,100.0,Bot
openshift-azure-robot,100.0,Bot
tedium-bot,100.0,Bot
nacho-bot,100.0,Bot
jenkins-x-bot,80.0,Bot
metamaskbot,100.0,Bot
ibmdotcom-bot,100.0,Bot
Favware-bot,42.0,Bot
airbnb-bot,82.0,Bot
dotnet-maestro-bot,29.0,Bot
dhis2-bot,63.0,Bot
explosion-bot,100.0,Bot
bundlerbot,37.0,Bot
pirate-bot,80.0,Bot
ng-zorro-bot,8.0,Bot
StepFunctions-Bot,100.0,Bot
yarpcbot,100.0,Bot
ucloud-bot,100.0,Bot
INGIbot,46.0,Bot
ExtendReality-Bot,84.0,Bot
asanabot,100.0,Bot
z-docker-bot,100.0,Bot
babel-bot,100.0,Bot
yarnbot,19.0,Bot
Codegnosis,100.0,Bot
thecodeholic,100.0,Bot
ddes-ci,64.0,Bot
stencila-ci,55.0,Bot
thorntail-ci,100.0,Bot
mesosphere-frontend-ci,100.0,Bot
hft-team-city,100.0,Bot
build-travis-ci,100.0,Bot
jdroid-ci,6.0,Bot
balena-ci,100.0,Bot
livingdocs-automation,100.0,Bot
yoshi-automation,34.5,Bot
scrutinizer-auto-fixer,100.0,Bot
aws-cdk-automation,25.0,Bot
bors-homu,31.0,Bot
bors-libra,63.0,Bot
jujugui,32.0,Bot
octokit-fixture-user-a,4.0,Bot
PRB0t,100.0,Bot
mayerm94,15.0,Bot
brotherlogic,100.0,Human
miki725,100.0,Human
mikedidomizio,100.0,Human
shiatsumat,100.0,Human
wti806,0.0,Human
FrankD412,4.0,Human
ramya-rao-a,100.0,Human
yu199195,0.0,Human
erlepereira,25.0,Human
cjermain,38.0,Human
ericchiang,12.0,Human
facundovictor,32.0,Human
SamHames,2.0,Human
edsu,15.0,Human
tkishel,100.0,Human
DavidS,16.5,Human
normj,11.0,Human
maxwellgerber,100.0,Human
tschaub,28.0,Human
wuxudong,100.0,Human
siddontang,70.0,Human
amyadzuki,100.0,Human
thomasp85,100.0,Human
y-takey,100.0,Human
corinnekrych,29.0,Human
raipc,100.0,Human
rodionos,0.0,Human
