Acti par jour,Type
coveralls,1.0,Bot
renovate,1.0,Bot
leocwlam,1.0,Bot
codecov-io,1.0,Bot
ant-design-bot,1.0,Bot
jnpr-community-netdev,1.0,Bot
ezrobot,2.0,Bot
thelinuxfoundation,1.0,Bot
Leonya,2.0,Bot
Hibernate-CI,2.0,Bot
cf-gitbot,1.0,Bot
VesnaT,3.0,Bot
scrutinizer-notifier,1.0,Bot
tessel-bot,2.0,Bot
haikuoliu,2.0,Bot
manifold-listbot,1.0,Bot
CLAassistant,1.5,Bot
gopherbot,2.0,Bot
snyk-bot,1.0,Bot
aviary2-wf,1.0,Bot
jayudey-wf,2.0,Bot
CFPBot,2.0,Bot
ININ-TransifexAutomation,2.0,Bot
Szetty,2.0,Bot
pravesh-a,2.0,Bot
samhatoum,3.0,Bot
pivotal-issuemaster,1.0,Bot
ScreensBot,1.0,Bot
oca-clabot,1.0,Bot
whulshof,2.0,Bot
fejta-bot,1.0,Bot
GordonTheTurtle,2.0,Bot
holinnn,3.0,Bot
reimannf,2.0,Bot
0crat,1.0,Bot
rultor,2.0,Bot
jsf-clabot,1.0,Bot
devOpsHazelcast,2.0,Bot
theopenlab-ci,2.0,Bot
genie-jnosql,1.0,Bot
ukp-svc-jenkins,1.0,Bot
miq-bot,1.0,Bot
travix-frontend-services,1.0,Bot
slnode,1.0,Bot
coreosbot,1.0,Bot
dsmjs-bot,1.0,Bot
hn-bot,2.5,Bot
Johns-CI-Bot,1.0,Bot
alexandernanberg,3.0,Bot
watson-github-bot,1.0,Bot
openshift-ci-robot,1.0,Bot
datastax-bot,1.0,Bot
kubevirt-bot,3.0,Bot
astropy-bot,1.0,Bot
HT2Bot,1.0,Bot
cmsdmwmbot,1.0,Bot
hubotbot,1.0,Bot
caicloud-bot,2.0,Bot
react-tether-bot,1.0,Bot
vmwclabot,2.0,Bot
grape-bot,1.0,Bot
AppVeyorBot,1.0,Bot
octokitbot,2.0,Bot
gaugebot,1.0,Bot
semantic-release-bot,1.0,Bot
moltinbot,1.0,Bot
mysql-oca-bot,1.0,Bot
netty-bot,1.0,Bot
etcd-bot,1.0,Bot
jetstack-bot,3.0,Bot
sailsbot,1.0,Bot
omnisharp-bot,1.0,Bot
ConfluentCLABot,1.0,Bot
lucas-bot,1.0,Bot
zcabot,1.0,Bot
yii-bot,1.0,Bot
dep-bot,2.0,Bot
salte-bot,1.5,Bot
mongoid-bot,1.0,Bot
gocardless-robot-restricted,1.0,Bot
ualbertalib-bot,1.0,Bot
kissaten-bot,2.0,Bot
windupgithubbot1,1.0,Bot
cb-sdk-robot,1.0,Bot
p1bot,1.0,Bot
testcafe-build-bot,1.0,Bot
lintr-bot,1.0,Bot
renovate-bot,1.0,Bot
sgopsbot,1.0,Bot
forge-bot,2.0,Bot
eclipse-lsp4j-bot,1.0,Bot
doorkeeper-bot,1.0,Bot
stoplight-bot,1.0,Bot
styleguidist-bot,1.0,Bot
omnius-bot,1.0,Bot
mike-north-bot,1.0,Bot
TDSBot,1.0,Bot
shaka-bot,1.0,Bot
symfony-skeleton-bot,3.0,Bot
hawkbit-bot,1.0,Bot
monty-bot,2.0,Bot
parity-cla-bot,1.5,Bot
devicekit-danger-bot,1.0,Bot
OdysseusBot,2.0,Bot
travi-bot,2.0,Bot
TPRobots,1.0,Bot
SupportClass-bot,1.0,Bot
knative-metrics-robot,1.0,Bot
knative-prow-robot,3.0,Bot
ApiaryBot,1.0,Bot
vue-bot,2.0,Bot
react-native-community-bot,1.0,Bot
owo-bot,1.0,Bot
prombot,2.0,Bot
5iMON-bot,2.0,Bot
uias-bot,2.0,Bot
form8ion-bot,1.0,Bot
Rozebot,1.0,Bot
fn-bot,1.0,Bot
kyma-bot,2.0,Bot
gpii-bot,1.0,Bot
upbound-bot,1.0,Bot
landscape-bot,1.0,Bot
voidraybot,3.0,Bot
watermarkchurch-bot,1.0,Bot
lonabot,1.0,Bot
lighthousebot,1.0,Bot
pouchrobot,2.0,Bot
raizlabs-oss-bot,1.0,Bot
khanbot,1.0,Bot
brototyp-bot,1.0,Bot
ArduinoBot,3.0,Bot
AgoricBot,1.0,Bot
NuKeeperBot,2.0,Bot
commitizen-bot,1.0,Bot
coorpacademybot,2.0,Bot
symfony-bot,2.0,Bot
blueprint-bot,1.0,Bot
cla-bot,1.0,Bot
Staffbot,1.5,Bot
theforeman-bot,1.0,Bot
sisu-bot,1.0,Bot
FeedjiraBot,1.0,Bot
michaelhsu-bot,1.0,Bot
GK-keeper-bot,2.0,Bot
fozzie-bot,1.0,Bot
eclipse-jaxb-impl-bot,2.0,Bot
kubermatic-bot,2.0,Bot
toptal-bot,2.0,Bot
zaripych-bot,1.0,Bot
whateverbot,1.0,Bot
azuresdkciprbot,1.0,Bot
tm-github-bot,1.0,Bot
eclipse-milo-bot,2.0,Bot
capistrano-bot,1.0,Bot
acs-bot,1.0,Bot
gitmate-bot,2.0,Bot
getsentry-bot,2.0,Bot
dangerpr-bot,1.0,Bot
