Compte,Temps réponse,Type
coveralls,403.0,Bot
renovate,6997180.0,Bot
leocwlam,942218.0,Bot
fabric8cd,2849238.0,Bot
codecov,390.0,Bot
codecov-io,151.5,Bot
ant-design-bot,5.0,Bot
facebook-github-bot,960.0,Bot
jnpr-community-netdev,139.0,Bot
dependabot-preview,1770999.0,Bot
ezrobot,1058.0,Bot
thelinuxfoundation,5.0,Bot
Hibernate-CI,1.0,Bot
cf-gitbot,2.0,Bot
stale,44041627.5,Bot
scrutinizer-notifier,267.5,Bot
googlebot,3.0,Bot
bors,474.0,Bot
k8s-ci-robot,5.0,Bot
tessel-bot,3.0,Bot
resin-io-modules-versionbot,3846.5,Bot
cfdreddbot,1.0,Bot
haikuoliu,36865.0,Bot
manifold-listbot,1.0,Bot
CLAassistant,7.0,Bot
gopherbot,579.0,Bot
old-fusion-bot,5.0,Bot
aviary2-wf,7.0,Bot
jayudey-wf,745.5,Bot
Szetty,21.0,Bot
pravesh-a,29766921.0,Bot
stakater-user,1092.0,Bot
pivotal-issuemaster,30.5,Bot
ScreensBot,665.0,Bot
pyup-bot,85136.5,Bot
oca-clabot,3.0,Bot
whulshof,1574.0,Bot
fejta-bot,2595038.0,Bot
GordonTheTurtle,2.0,Bot
lock,19452348.0,Bot
gatsbot,5.0,Bot
0crat,74.0,Bot
rultor,184.0,Bot
jsf-clabot,2.0,Bot
dependencies,388183.5,Bot
devOpsHazelcast,481.0,Bot
theopenlab-ci,3143.0,Bot
genie-jnosql,104.0,Bot
ukp-svc-jenkins,6005.5,Bot
miq-bot,575.0,Bot
travix-frontend-services,92.0,Bot
slnode,1.0,Bot
coreosbot,0.0,Bot
dsmjs-bot,2327600.0,Bot
hn-bot,1445107.5,Bot
Johns-CI-Bot,670.0,Bot
bors-servo,3.0,Bot
watson-github-bot,252917.0,Bot
openshift-ci-robot,31.0,Bot
datastax-bot,2.5,Bot
istio-testing,4.5,Bot
openshift-bot,162.0,Bot
kubevirt-bot,2592063.0,Bot
astropy-bot,2.0,Bot
HT2Bot,10100.0,Bot
cmsdmwmbot,288.0,Bot
hubotbot,4519527.0,Bot
caicloud-bot,29.0,Bot
react-tether-bot,260.5,Bot
vmwclabot,3.0,Bot
grape-bot,91.0,Bot
AppVeyorBot,582.0,Bot
nfbot,1.5,Bot
octokitbot,212854.0,Bot
gaugebot,13052.5,Bot
semantic-release-bot,1773164.0,Bot
atomist-bot,3608.0,Bot
moltinbot,218537.0,Bot
mysql-oca-bot,30945.0,Bot
resin-io-versionbot,16.0,Bot
netty-bot,200.5,Bot
etcd-bot,14.0,Bot
jetstack-bot,9.0,Bot
sailsbot,12.0,Bot
ConfluentCLABot,2.0,Bot
lucas-bot,759.5,Bot
zcabot,20.0,Bot
yii-bot,17179.0,Bot
doppins-bot,536881.0,Bot
salte-bot,28226284.0,Bot
mongoid-bot,90.0,Bot
greenkeeperio-bot,396075.0,Bot
sourcelevel-bot,31.5,Bot
oclif-bot,30455.5,Bot
ualbertalib-bot,14027.0,Bot
windupgithubbot1,1124.0,Bot
cb-sdk-robot,689.0,Bot
p1bot,338.5,Bot
jekyllbot,5272255.0,Bot
testcafe-build-bot,1448.0,Bot
lintr-bot,52.0,Bot
sgopsbot,127.0,Bot
forge-bot,91.0,Bot
eclipse-lsp4j-bot,161.0,Bot
soloio-bot,58.0,Bot
doorkeeper-bot,401.0,Bot
stoplight-bot,28155.0,Bot
styleguidist-bot,260147.0,Bot
omnius-bot,7249.0,Bot
mike-north-bot,4254753.0,Bot
TDSBot,151862.0,Bot
shaka-bot,345807.0,Bot
qiwibot,1208920.0,Bot
OCA-git-bot,722.5,Bot
hawkbit-bot,416.0,Bot
electron-bot,1297392.0,Bot
parity-cla-bot,3.0,Bot
angular-automatic-lock-bot,40442250.0,Bot
devicekit-danger-bot,1219.5,Bot
OdysseusBot,43.0,Bot
mister-roboto,907.0,Bot
travi-bot,53536.5,Bot
TPRobots,3794618.0,Bot
SupportClass-bot,31267.0,Bot
probot-shopify,4.0,Bot
knative-metrics-robot,3251.0,Bot
knative-prow-robot,15.0,Bot
ApiaryBot,1108410.0,Bot
go-cloud-bot,2.0,Bot
vue-bot,2517346.0,Bot
react-native-community-bot,517406.0,Bot
msftbot,69.0,Bot
adobe-bot,118591.0,Bot
edx-requirements-bot,604819.5,Bot
owo-bot,63604.0,Bot
