Followers,Type
191,Bot
28,Bot
2,Bot
1,Bot
126,Bot
44,Bot
302,Bot
1,Bot
1,Bot
117,Bot
1,Bot
3,Bot
3,Bot
883,Bot
249,Bot
374,Bot
0,Bot
0,Bot
14,Bot
0,Bot
97,Bot
306,Bot
0,Bot
2,Bot
0,Bot
0,Bot
5,Bot
1,Bot
0,Bot
15,Bot
9,Bot
0,Bot
156,Bot
0,Bot
3,Bot
21,Bot
129,Bot
2,Bot
70,Bot
90,Bot
13,Bot
5,Bot
3,Bot
0,Bot
0,Bot
9,Bot
0,Bot
5,Bot
0,Bot
1,Bot
3,Bot
1,Bot
0,Bot
65,Bot
45,Bot
17,Bot
15,Bot
30,Bot
40,Bot
4,Bot
0,Bot
3,Bot
0,Bot
3,Bot
5,Bot
0,Bot
21,Bot
1,Bot
5,Bot
2,Bot
4,Bot
7,Bot
1,Bot
94,Bot
2,Bot
1,Bot
5,Bot
1,Bot
3,Bot
0,Bot
7,Bot
6,Bot
1,Bot
0,Bot
0,Bot
8,Bot
4,Bot
0,Bot
1,Bot
0,Bot
199,Bot
0,Bot
0,Bot
4,Bot
1,Bot
0,Bot
0,Bot
3,Bot
96,Bot
1,Bot
5,Bot
574,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
1,Bot
5,Bot
6,Bot
1,Bot
32,Bot
0,Bot
1,Bot
191,Bot
3,Bot
0,Bot
1,Bot
4,Bot
0,Bot
1,Bot
0,Bot
1,Bot
4,Bot
3,Bot
83,Bot
1,Bot
4,Bot
1,Bot
4,Bot
15,Bot
0,Bot
5,Bot
0,Bot
0,Bot
7,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
6,Bot
0,Bot
0,Bot
5,Bot
1,Bot
0,Bot
131,Bot
9,Bot
0,Bot
3,Bot
0,Bot
0,Bot
10,Bot
2,Bot
3,Bot
1,Bot
0,Bot
3,Bot
1,Bot
0,Bot
1,Bot
1,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
1,Bot
0,Bot
14,Bot
2,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
26,Bot
0,Bot
70,Bot
5,Bot
6,Bot
7,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
3,Bot
1,Bot
0,Bot
2,Bot
0,Bot
0,Bot
4,Bot
2,Bot
1,Bot
22,Bot
3,Bot
0,Bot
0,Bot
1,Bot
18,Bot
0,Bot
0,Bot
115,Bot
10,Bot
12,Bot
2,Bot
2,Bot
0,Bot
0,Bot
0,Bot
1,Bot
10,Bot
0,Bot
0,Bot
0,Bot
0,Bot
4,Bot
4,Bot
5,Bot
16,Bot
0,Bot
4,Bot
8,Bot
0,Bot
5,Bot
8,Bot
0,Bot
5,Bot
5,Bot
1,Bot
5,Bot
3,Bot
1,Bot
15,Bot
4,Bot
1,Bot
5,Bot
2,Bot
1,Bot
1,Bot
10,Bot
20,Bot
3,Bot
0,Bot
7,Bot
0,Bot
53,Bot
0,Bot
2,Bot
1,Bot
1,Bot
1,Bot
1,Bot
17,Bot
10,Bot
1,Bot
1,Bot
1,Bot
3,Bot
0,Bot
17,Bot
1,Bot
19,Bot
3,Bot
3,Bot
4,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
57,Bot
0,Bot
