Following,Type
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
14,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
9,Bot
0,Bot
0,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
215,Bot
465,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
5,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
5,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
3,Bot
0,Bot
0,Bot
0,Bot
0,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
2,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
9,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
1,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
3,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
0,Bot
