Compte,lev,Type
renovate,33.0,Bot
leocwlam,100.0,Bot
snyk-bot,41.0,Bot
dependabot-preview,66.0,Bot
haikuoliu,70.0,Bot
jayudey-wf,74.5,Bot
CFPBot,71.0,Bot
ININ-TransifexAutomation,66.0,Bot
Szetty,37.0,Bot
holinnn,100.0,Bot
pyup-bot,21.0,Bot
dependencies,94.0,Bot
svc-excavator-bot,92.0,Bot
caicloud-bot,97.0,Bot
ForbesLindesay-Bot,99.0,Bot
nfbot,86.0,Bot
octokitbot,100.0,Bot
omnisharp-bot,93.0,Bot
doppins-bot,88.0,Bot
dep-bot,87.0,Bot
gocardless-robot-restricted,100.0,Bot
oclif-bot,100.0,Bot
kissaten-bot,96.0,Bot
jekyllbot,91.0,Bot
renovate-bot,36.0,Bot
shaka-bot,90.5,Bot
symfony-skeleton-bot,74.0,Bot
monty-bot,91.0,Bot
OdysseusBot,100.0,Bot
TPRobots,100.0,Bot
edx-requirements-bot,81.0,Bot
owo-bot,84.0,Bot
prombot,100.0,Bot
5iMON-bot,45.0,Bot
Rozebot,100.0,Bot
spinnakerbot,66.0,Bot
voidraybot,93.0,Bot
openshift-cherrypick-robot,85.0,Bot
pouchrobot,100.0,Bot
AgoricBot,100.0,Bot
NuKeeperBot,77.0,Bot
coorpacademybot,18.0,Bot
Staffbot,31.5,Bot
sisu-bot,100.0,Bot
dependabot,63.0,Bot
eclipse-jaxb-impl-bot,88.0,Bot
kubermatic-bot,66.0,Bot
mainio-integration-bot,100.0,Bot
zaripych-bot,100.0,Bot
algoliareadmebot,100.0,Bot
dpebot,100.0,Bot
pantheon-ci-bot,6.0,Bot
omex-github-bot-internal,54.0,Bot
sre-bot,23.0,Bot
alluxio-bot,55.0,Bot
che-bot,100.0,Bot
submariner-bot,78.0,Bot
openshift-azure-robot,98.0,Bot
tedium-bot,100.0,Bot
jenkins-x-bot,91.0,Bot
metamaskbot,27.0,Bot
ibmdotcom-bot,81.0,Bot
Favware-bot,100.0,Bot
dotnet-maestro-bot,97.0,Bot
dhis2-bot,100.0,Bot
edx-transifex-bot,100.0,Bot
ng-zorro-bot,55.0,Bot
mender-test-bot,94.0,Bot
yarpcbot,100.0,Bot
ucloud-bot,15.0,Bot
INGIbot,100.0,Bot
skydive-bot,100.0,Bot
dictybasebot,100.0,Bot
asanabot,100.0,Bot
babel-bot,74.0,Bot
Codegnosis,100.0,Bot
thecodeholic,100.0,Bot
mesosphere-frontend-ci,68.5,Bot
chainer-ci,82.0,Bot
build-travis-ci,62.0,Bot
shiftjs-circleci,100.0,Bot
jdroid-ci,69.0,Bot
livingdocs-automation,97.0,Bot
yoshi-automation,38.0,Bot
opa-updater-automation,100.0,Bot
AutorestCI,97.0,Bot
scrutinizer-auto-fixer,100.0,Bot
openapi-sdkautomation,92.0,Bot
aws-cdk-automation,29.0,Bot
bors-libra,42.0,Bot
octokit-fixture-user-a,100.0,Bot
PRB0t,91.0,Bot
mayerm94,85.5,Bot
nmattia-autoupdate,100.0,Bot
brotherlogic,100.0,Human
miki725,31.0,Human
mikedidomizio,100.0,Human
shiatsumat,35.0,Human
wti806,14.0,Human
FrankD412,31.0,Human
ramya-rao-a,33.0,Human
yu199195,96.0,Human
cjermain,36.0,Human
ericchiang,2.0,Human
facundovictor,32.0,Human
SamHames,27.0,Human
edsu,18.0,Human
tkishel,33.0,Human
DavidS,8.0,Human
normj,45.0,Human
maxwellgerber,20.0,Human
tschaub,32.0,Human
siddontang,13.0,Human
amyadzuki,24.0,Human
y-takey,24.0,Human
corinnekrych,32.5,Human
raipc,100.0,Human
cbrevik,22.0,Human
yurishkuro,9.0,Human
callum-oakley,27.0,Human
JesperLekland,21.5,Human
GSadee,63.5,Human
s0md3v,100.0,Human
cjelger,14.0,Human
ralphbean,8.0,Human
chshersh,11.0,Human
slok,29.0,Human
yesmeck,50.0,Human
nitzanj,100.0,Human
erikandre,100.0,Human
duncdrum,25.0,Human
nihalgonsalves,26.0,Human
captn3m0,1.0,Human
rsmekala,7.5,Human
bricesanchez,12.0,Human
chuanshuoye,15.0,Human
SamVerschueren,26.0,Human
peterbroadhurst,19.0,Human
jonathanswong,100.0,Human
rhelmot,7.0,Human
redgeoff,100.0,Human
justinlittman,23.0,Human
jsemler,43.0,Human
smithad15,11.0,Human
jancajthaml,100.0,Human
objective-audio,100.0,Human
xh3b4sd,21.0,Human
joelrebel,19.0,Human
yangjianzhou,99.5,Human
jeffgbutler,9.0,Human
Kiikurage,2.0,Human
GaoJiasheng,100.0,Human
Zales0123,11.0,Human
HazAT,5.0,Human
swissspidy,23.0,Human
salgum1114,10.0,Human
kkoumantaros,65.5,Human
wnxn,3.0,Human
gbastien,33.0,Human
sbinet,75.0,Human
