Bot,Humain
98.0,28.0
100.0,35.0
78.0,28.0
28.0,28.0
90.0,8.0
100.0,34.0
38.0,31.0
68.0,28.0
100.0,31.0
100.0,30.0
99.0,32.0
99.0,40.0
99.0,33.0
88.0,29.0
55.0,32.0
100.0,28.0
55.0,29.0
94.0,35.5
98.0,31.0
75.0,29.0
82.0,32.0
98.5,30.0
99.0,34.0
54.0,34.0
98.0,46.0
99.0,29.0
100.0,29.0
98.0,25.0
100.0,29.0
87.0,28.0
96.0,19.0
100.0,39.0
99.0,41.0
100.0,30.0
99.0,27.0
100.0,28.0
74.0,28.0
99.0,10.0
100.0,51.0
99.0,30.0
98.0,29.0
94.0,29.0
100.0,24.0
74.0,36.0
99.0,33.0
99.5,28.0
79.0,10.0
98.0,60.0
100.0,29.0
98.0,32.0
85.0,8.0
100.0,10.0
57.0,33.5
98.0,26.0
91.0,30.0
97.0,24.0
100.0,34.5
52.0,13.0
98.0,30.0
31.0,32.0
59.0,25.0
98.0,25.0
32.0,28.0
34.0,29.0
44.0,32.0
100.0,97.5
100.0,21.0
56.0,31.0
81.0,35.0
88.0,27.0
100.0,25.0
100.0,32.0
64.0,25.0
96.0,31.0
36.0,28.0
99.0,28.0
84.0,26.0
100.0,30.0
95.0,26.0
100.0,27.5
97.0,32.0
52.0,32.0
100.0,29.0
97.0,32.0
87.0,52.0
100.0,34.5
99.0,18.0
100.0,31.0
47.0,34.0
100.0,24.0
88.0,31.0
50.0,31.0
97.0,31.0
100.0,30.0
73.0,31.0
98.0,26.0
100.0,33.0
99.0,30.0
100.0,26.5
31.0,29.0
97.0,53.5
66.0,24.0
29.0,29.0
34.0,35.0
72.0,28.0
100.0,34.0
84.0,16.0
24.0,36.0
44.0,27.0
99.0,24.0
96.0,29.0
30.0,28.0
100.0,31.0
97.0,34.0
96.0,28.0
98.0,28.0
93.0,29.0
99.0,62.0
76.0,26.0
98.0,30.0
100.0,33.0
100.0,28.0
32.0,23.0
26.0,32.0
,29.0
,31.0
,28.0
,22.0
,28.0
,29.0
,32.0
,31.0
,33.0
,27.0
,35.0
,30.0
,31.0
,28.0
,62.5
,32.0
,26.5
,29.0
,66.5
,29.0
,25.0
,33.0
,29.0
,31.0
,27.0
,42.0
,29.0
,31.0
,63.0
,29.0
,32.0
,27.0
,28.0
,24.0
,27.5
,30.0
,32.0
,33.0
,36.5
,28.0
,7.0
,35.0
,28.0
,34.0
,65.5
,33.0
,34.0
,28.0
,30.0
,40.0
,33.0
,27.0
,22.0
,37.0
,62.5
,25.0
,24.0
,32.0
,28.0
,32.0
,28.0
,31.0
,30.0
,27.0
,25.0
,26.0
,71.5
,31.0
,28.0
,32.0
,31.0
,55.5
,32.0
,29.0
,31.0
,27.0
,36.5
,28.0
,32.0
,32.0
,34.0
,28.0
,29.0
,26.0
,19.0
,28.0
,30.0
,28.0
,37.0
,34.0
,30.0
,26.0
,35.0
,34.0
,31.0
,28.0
,30.0
