Bot,Humain
73.0,27.0
100.0,47.0
98.5,37.0
100.0,33.0
73.0,69.5
85.0,15.0
76.0,40.0
45.0,27.0
40.0,20.0
89.0,39.5
48.0,31.0
98.0,28.0
100.0,27.0
98.0,25.0
100.0,32.0
84.0,29.0
36.0,25.0
59.0,26.0
79.0,30.0
99.0,30.0
95.0,32.0
88.0,28.0
30.5,30.0
100.0,31.0
99.0,27.0
37.0,26.0
40.0,23.0
61.0,27.0
32.0,33.0
72.5,26.0
41.0,28.0
87.0,27.0
57.0,36.0
90.0,22.0
93.0,30.0
82.0,31.0
80.5,24.0
84.0,31.0
94.0,37.0
100.0,28.5
67.0,27.0
49.0,22.0
61.0,23.0
98.0,28.0
98.0,1.0
100.0,22.0
64.0,28.0
100.0,31.0
96.0,30.0
38.0,26.0
82.0,23.0
54.0,37.0
100.0,36.0
99.0,16.0
97.0,28.0
77.0,27.0
31.0,32.0
98.0,28.0
83.0,21.0
82.0,18.0
97.0,29.0
31.0,20.0
55.0,25.0
98.0,45.0
98.0,15.0
33.0,39.0
99.0,23.0
38.0,21.0
99.0,42.0
91.0,28.0
76.0,29.0
90.0,32.0
100.0,30.0
98.0,31.0
98.0,31.0
97.0,28.0
89.0,32.0
99.0,7.0
48.0,24.0
91.0,34.0
100.0,27.0
100.0,25.0
44.0,27.0
34.0,27.0
65.0,24.0
54.0,25.0
100.0,29.0
100.0,28.0
96.0,39.0
98.0,25.0
83.0,37.0
98.0,30.0
65.0,26.5
99.0,25.0
93.0,100.0
52.0,30.0
42.0,17.5
93.0,33.0
84.0,30.0
72.0,20.0
94.0,30.0
71.0,33.0
100.0,28.0
97.0,25.0
81.0,33.0
98.0,30.0
98.0,27.5
99.0,35.0
100.0,29.0
100.0,26.0
39.0,29.0
97.0,31.0
34.0,35.0
23.0,31.0
99.0,24.0
91.0,24.0
100.0,73.5
63.0,28.0
100.0,27.0
98.0,29.0
88.0,19.0
99.0,27.5
98.0,25.0
72.0,26.0
71.0,31.0
92.0,40.0
98.0,34.0
100.0,22.0
95.0,22.0
99.0,33.0
80.0,32.0
98.0,50.0
100.0,25.0
99.0,32.0
85.0,30.0
98.0,24.0
100.0,25.0
59.0,52.5
80.0,26.0
43.0,55.0
99.0,31.0
56.0,21.0
56.0,29.0
93.0,29.0
82.0,14.0
100.0,30.0
86.0,8.0
78.0,33.0
18.0,25.0
99.0,17.0
39.0,30.0
82.0,34.0
99.0,24.0
96.0,28.0
74.0,30.0
99.0,28.0
100.0,26.0
80.0,28.0
99.0,70.5
100.0,31.0
89.0,34.0
99.0,30.0
47.0,29.0
33.0,24.0
71.0,24.0
83.0,27.0
83.0,30.0
100.0,31.0
67.0,23.0
84.0,72.5
45.0,19.0
97.0,60.0
100.0,36.0
93.0,32.0
99.0,24.0
30.0,28.0
98.0,34.0
98.0,30.0
99.0,30.0
98.0,28.0
100.0,26.0
100.0,30.5
80.5,29.0
100.0,5.0
100.0,34.5
100.0,33.0
78.0,34.0
99.0,66.0
90.0,39.0
97.0,27.0
91.0,28.0
72.0,36.0
100.0,35.0
98.0,27.0
99.0,21.0
100.0,100.0
100.0,16.0
95.0,27.0
100.0,29.0
92.0,19.0
91.0,26.0
81.0,14.5
87.0,32.0
100.0,33.0
100.0,44.0
57.0,26.0
77.0,27.0
89.0,32.0
92.0,27.0
25.0,28.0
76.0,23.0
100.0,35.5
99.0,28.0
43.0,24.5
94.0,22.0
89.0,34.0
77.0,30.5
75.0,34.0
99.0,29.0
88.0,38.5
41.0,27.0
68.0,26.5
49.0,17.0
100.0,54.0
30.0,29.0
94.0,32.0
56.0,32.0
36.0,29.0
100.0,27.0
99.0,27.0
93.0,25.0
83.0,29.0
90.0,28.0
58.0,28.0
100.0,25.0
63.0,33.0
37.0,35.0
91.0,31.0
51.0,36.0
92.0,33.0
100.0,33.5
97.0,38.0
98.0,22.0
53.0,25.0
44.0,37.0
83.0,27.0
80.0,24.0
70.0,31.0
52.0,29.0
70.0,26.0
81.0,36.0
98.0,27.0
64.0,68.0
93.0,32.0
77.0,23.0
49.0,41.0
99.0,38.0
83.0,27.0
42.0,30.0
74.0,38.0
97.0,18.0
20.0,31.0
100.0,59.0
98.0,14.5
34.0,35.0
99.0,24.0
95.0,26.0
30.0,39.0
77.0,51.0
99.0,24.0
83.0,15.0
31.0,21.0
93.0,30.0
32.0,33.0
99.0,28.0
99.0,28.0
61.0,24.0
49.0,27.0
34.0,28.0
65.0,34.0
100.0,30.0
100.0,21.0
98.0,26.0
79.0,31.0
100.0,34.5
94.0,34.0
91.0,29.5
99.0,28.0
97.0,35.0
62.0,32.0
36.0,25.0
100.0,32.0
100.0,24.0
76.0,30.0
97.0,20.0
100.0,27.5
100.0,31.0
99.0,21.0
78.0,45.0
98.0,26.0
98.0,26.0
86.0,28.0
55.0,26.0
100.0,29.0
96.0,30.0
93.0,28.0
78.0,30.0
64.0,28.0
95.0,28.0
98.0,37.0
98.0,32.0
86.0,32.0
100.0,30.0
92.0,28.0
86.0,24.0
95.0,24.0
100.0,33.0
88.0,35.0
100.0,35.5
99.0,30.0
94.0,29.0
37.0,29.0
98.0,79.0
100.0,31.0
100.0,23.0
99.0,28.0
97.0,28.0
100.0,29.0
99.0,28.0
99.0,45.0
100.0,21.0
100.0,33.5
100.0,27.0
71.0,32.0
98.0,43.0
99.0,30.0
84.0,24.0
98.0,13.0
90.0,22.0
80.0,29.5
100.0,34.0
95.0,26.0
100.0,52.0
100.0,28.0
100.0,27.0
99.0,37.5
82.5,23.5
91.0,25.0
48.0,29.0
97.0,31.0
60.0,30.0
100.0,28.0
99.0,24.0
32.0,30.0
98.0,32.0
98.0,31.0
98.0,34.0
100.0,24.0
95.0,24.5
56.0,35.0
34.0,29.0
30.0,29.0
96.0,25.0
77.0,27.0
62.0,25.0
100.0,35.0
98.0,74.0
98.0,33.0
100.0,23.0
99.0,30.0
88.0,30.0
92.0,36.0
95.0,29.5
76.0,36.0
82.0,26.0
66.0,30.0
100.0,27.0
99.0,30.0
67.5,63.0
64.0,33.0
100.0,34.0
41.0,25.0
,32.0
,27.0
,28.0
,32.0
,33.0
,36.0
,28.0
,26.0
,27.0
,66.0
,30.0
,30.0
,29.0
,32.0
,30.0
,25.0
,29.0
,31.5
,74.0
,31.0
,35.0
,26.5
,15.0
,29.0
,31.0
,23.0
,29.0
,28.0
,16.0
,33.0
,28.0
,29.0
,34.5
,19.0
,35.0
,38.5
,33.0
,13.0
,23.0
,28.0
,30.0
,30.5
,23.0
,24.0
,37.0
,38.0
,34.0
,33.0
,31.0
,30.5
,31.0
,39.0
,26.0
,30.5
,38.0
,16.0
,35.0
,26.0
,29.0
,23.0
,31.0
,21.0
,25.0
,25.0
,35.0
,30.0
,24.0
,38.0
,25.0
,25.5
,35.0
,27.0
,30.0
,33.0
,26.0
,31.0
,34.0
,30.0
,27.0
,36.0
,27.0
,28.0
,29.0
,29.0
,27.0
,29.0
,62.0
,35.0
,30.0
,13.0
,25.0
,21.0
,33.0
,32.0
,31.0
,23.0
,27.0
,31.0
,28.0
,31.0
,28.0
,26.0
,31.0
,27.0
,27.0
,32.0
,31.0
,29.0
,28.5
,30.0
,31.0
,32.0
,20.0
,33.0
,28.0
,19.0
,24.0
,26.0
,25.0
,27.0
,31.0
,31.0
,31.0
,33.0
,27.0
,29.0
,44.0
,20.0
,32.0
,33.0
,27.0
,33.0
,27.0
,33.5
,40.0
,23.0
,27.5
,30.0
,35.0
,32.0
,28.0
,68.0
,27.0
,29.0
,18.0
,31.0
,36.0
,25.5
,47.0
,32.0
,29.0
,25.0
,37.0
,29.0
,36.0
,32.0
,29.0
,18.0
,33.0
,42.0
,31.0
,32.0
,33.0
,28.0
,21.0
,62.5
,33.0
,32.0
,24.0
,19.0
,31.0
,26.0
,30.0
,32.0
,22.0
,30.0
,28.0
,28.0
,27.0
