Bot,Humain
26.0,100.0
100.0,100.0
29.0,100.0
100.0,100.0
27.5,0.0
100.0,4.0
100.0,100.0
100.0,0.0
100.0,25.0
38.0,38.0
100.0,12.0
100.0,32.0
100.0,2.0
27.0,15.0
100.0,100.0
100.0,16.5
0.0,11.0
4.0,100.0
100.0,28.0
32.0,100.0
100.0,70.0
100.0,100.0
100.0,100.0
100.0,100.0
68.0,29.0
100.0,100.0
100.0,0.0
100.0,100.0
100.0,100.0
92.5,22.0
60.0,100.0
100.0,0.0
16.0,16.0
17.0,100.0
100.0,27.0
100.0,16.0
100.0,14.0
55.0,11.0
100.0,28.0
100.0,100.0
40.0,100.0
100.0,67.0
50.0,56.0
35.0,100.0
96.0,100.0
100.0,100.0
100.0,36.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,41.0
65.0,16.0
100.0,100.0
13.5,18.0
33.0,100.0
20.0,6.0
100.0,0.0
71.5,100.0
36.0,100.0
62.0,100.0
100.0,10.0
54.0,50.0
42.0,21.0
72.0,25.0
100.0,0.0
100.0,18.0
100.0,100.0
100.0,100.0
100.0,100.0
80.0,100.0
100.0,19.0
100.0,100.0
42.0,35.0
82.0,100.0
29.0,21.0
63.0,25.0
100.0,100.0
37.0,25.0
80.0,100.0
8.0,100.0
100.0,100.0
100.0,100.0
100.0,9.0
46.0,100.0
84.0,100.0
100.0,32.0
100.0,13.0
100.0,100.0
19.0,100.0
100.0,100.0
100.0,100.0
64.0,35.5
55.0,14.0
100.0,18.0
100.0,6.0
100.0,34.0
100.0,100.0
6.0,23.0
100.0,100.0
100.0,100.0
34.5,14.0
100.0,100.0
25.0,15.0
31.0,51.0
63.0,100.0
32.0,17.0
4.0,100.0
100.0,30.0
15.0,21.0
,100.0
,100.0
,4.0
,40.0
,100.0
,15.0
,100.0
,10.5
,100.0
,26.0
,100.0
,26.0
,36.5
,13.0
,100.0
,22.0
,100.0
,6.0
,100.0
,100.0
,22.0
,16.0
,20.0
,25.0
,22.0
,100.0
,100.0
,12.0
,100.0
,19.0
,100.0
,100.0
,4.0
,100.0
,20.0
,11.0
,100.0
,100.0
,20.0
,60.0
,26.0
,100.0
,100.0
,100.0
,25.0
,100.0
,22.5
,27.0
,0.0
,12.0
,0.0
,13.0
,100.0
,13.0
,9.0
,100.0
,17.0
,90.0
,100.0
,0.5
,0.0
,31.0
,2.0
,100.0
,28.0
,25.0
,100.0
,8.0
,100.0
,26.0
,100.0
,8.0
,16.0
,100.0
,100.0
,18.0
,100.0
,100.0
,100.0
,16.0
,100.0
,100.0
,100.0
,100.0
,20.0
,13.0
,10.0
,100.0
,100.0
,9.0
,0.0
,100.0
,10.0
,17.0
,100.0
,3.0
,100.0
,100.0
,29.0
,27.0
,32.0
,16.0
,100.0
,50.0
,21.0
,24.0
,100.0
,28.0
,20.0
,14.0
,90.0
,11.0
,100.0
,100.0
,100.0
,34.0
,11.0
,16.0
,100.0
,16.0
,100.0
,10.0
,32.5
,10.0
,0.0
,3.0
,100.0
,13.0
,33.0
,27.0
,100.0
,57.0
,16.0
,31.0
,100.0
,100.0
,29.0
,23.0
,100.0
,100.0
,100.0
,100.0
,14.0
,36.0
,26.0
,31.0
,100.0
,100.0
,19.0
,29.0
,42.0
,13.0
,13.0
,100.0
,20.0
,100.0
,100.0
,27.0
,22.0
,100.0
,89.0
,100.0
,29.0
,13.0
,2.0
,17.0
,14.0
,16.0
,100.0
,16.0
,100.0
,31.0
,39.0
,100.0
,100.0
,19.5
,16.0
,3.0
,100.0
,30.0
,100.0
,50.0
,100.0
,37.0
,27.0
,3.0
,11.0
,31.5
,100.0
,14.0
,31.5
,100.0
,100.0
,100.0
,1.0
,13.0
,100.0
,100.0
,100.0
,22.0
,22.0
,100.0
,32.0
,100.0
,31.0
,26.0
,10.0
,26.0
,30.0
,34.0
,28.0
,20.0
,6.0
,21.0
,100.0
,100.0
,13.0
,96.0
,100.0
,100.0
,100.0
,100.0
,64.0
,36.0
,100.0
,31.0
,100.0
,7.0
,100.0
,19.0
,16.0
,100.0
,1.0
,96.0
,19.0
,12.0
,15.0
,41.0
,18.0
,100.0
,38.5
,100.0
,17.0
,53.0
,100.0
,100.0
,100.0
,100.0
,100.0
,33.0
,100.0
,24.5
,14.0
,6.0
,100.0
,15.0
,100.0
,27.0
,100.0
,100.0
,18.0
,100.0
,16.0
,100.0
,21.5
,25.0
,12.0
,25.0
,35.0
,2.0
,100.0
,21.0
,100.0
,100.0
,32.0
,100.0
,23.0
,14.0
,20.0
,37.0
,33.0
,28.0
,100.0
,2.0
,2.0
,8.0
,36.5
,100.0
,23.0
,100.0
,100.0
,26.0
,100.0
,80.0
,100.0
,41.0
,100.0
,100.0
,100.0
,100.0
,14.0
,6.0
,58.0
,11.0
,100.0
,24.0
,100.0
,100.0
,100.0
,100.0
,100.0
,14.0
,100.0
,37.0
,21.0
,18.0
,22.0
,100.0
,32.0
,100.0
,100.0
,38.0
,100.0
,100.0
,100.0
,26.0
,100.0
,100.0
,100.0
,100.0
,100.0
,14.0
,19.0
,16.0
,100.0
,26.0
,14.0
,100.0
,19.0
,16.0
,38.0
,100.0
,100.0
,100.0
,100.0
,100.0
,23.0
,30.0
,8.0
,16.0
,8.0
,100.0
,100.0
,100.0
,100.0
,19.0
,39.0
,3.0
,10.0
,100.0
,100.0
,100.0
,100.0
,30.0
,100.0
,4.0
,21.0
,100.0
,33.0
,16.0
,100.0
,100.0
,100.0
,100.0
,100.0
,100.0
,17.0
,100.0
,100.0
,100.0
,26.0
,100.0
,21.0
,100.0
,12.0
,28.0
,24.0
,13.0
,22.0
,29.0
,33.0
,17.0
