Bot,Humain
100.0,13.0
100.0,25.0
56.0,35.0
100.0,10.0
38.0,31.0
40.0,19.0
100.0,61.0
100.0,32.0
64.0,32.0
99.0,32.0
100.0,63.5
71.0,29.0
72.0,36.0
100.0,12.0
100.0,100.0
64.0,29.5
99.5,29.0
78.0,30.0
91.0,31.0
58.0,25.0
42.0,50.0
86.0,39.0
45.0,53.0
93.0,26.0
45.0,36.0
47.0,29.0
38.0,100.0
87.0,56.0
94.0,37.0
100.0,25.0
50.0,25.5
80.0,30.0
39.0,34.0
88.0,28.0
77.0,42.0
100.0,24.5
92.0,22.5
77.0,36.5
45.0,5.0
36.0,67.0
71.0,18.0
58.0,19.0
56.0,13.5
87.0,10.0
31.0,16.0
78.0,44.0
100.0,29.0
91.0,32.5
68.5,27.0
48.0,41.0
37.0,33.0
51.0,35.0
12.0,80.0
42.0,27.0
32.0,100.0
,19.0
,29.0
,37.0
,43.0
,33.0
,24.0
,41.0
,39.0
,20.0
,38.0
,33.0
,35.0
,68.5
,35.0
,34.0
,18.0
,32.0
,28.0
,29.0
,75.0
,70.5
,35.0
,32.5
,69.5
,27.5
,31.0
,23.5
,24.0
,36.0
,32.0
,38.0
,27.0
,100.0
,37.0
,23.0
,32.0
,33.0
,32.0
,26.0
,32.5
,34.0
,3.5
,33.0
,30.0
,33.0
,49.0
,31.0
,37.0
,29.0
,15.0
,15.0
,31.0
,30.0
,4.0
,28.0
,66.5
,100.0
,36.0
,38.0
,31.0
,7.0
,34.0
,30.0
,33.0
,30.0
,33.0
,40.0
,21.0
,0.0
,34.0
,35.0
,22.0
,68.0
,28.5
,28.0
,38.0
,34.5
,28.0
,16.0
,70.0
,27.0
,18.0
,31.0
,59.5
,19.0
,28.0
,24.0
,4.0
,33.5
,23.0
,35.0
,31.0
,34.0
,35.0
,12.5
,28.0
,39.0
,59.0
,32.0
,34.0
,29.5
,27.5
,23.5
,55.5
,12.0
,32.0
,28.0
,32.5
,100.0
,33.0
,20.0
,67.0
,31.0
,27.0
,36.0
,30.0
,28.0
,39.0
,59.0
,64.5
,38.5
,34.0
,27.0
,76.0
,63.0
,22.0
,34.0
,34.0
,30.0
,32.0
,3.0
,27.0
,25.0
,33.0
,41.5
,31.5
,39.0
,34.0
,18.0
,29.0
,28.0
,34.0
,65.5
,32.0
,21.0
,30.0
,33.0
,40.5
,38.0
,35.5
,17.0
,67.0
,31.5
,35.5
,64.5
,35.0
,35.0
,31.5
,33.0
,17.0
,64.5
,34.5
,29.0
,45.0
,34.0
,66.0
,39.0
,100.0
,32.0
,37.0
,32.0
,25.0
,32.0
,35.0
,92.0
,36.5
,35.0
,100.0
,26.0
,31.0
,100.0
,26.0
,42.0
,27.0
,31.0
,36.0
,31.5
,39.0
,17.0
,31.5
,30.0
,25.0
,17.0
,34.0
,30.0
,43.0
,30.0
,34.0
,30.0
,63.5
,33.0
,36.0
,10.0
,35.0
,28.0
,33.0
,23.0
,32.0
,32.0
,33.5
,40.0
,33.0
,37.0
,21.0
,34.0
,15.0
,44.0
,35.0
,34.0
,31.0
,65.5
,11.0
,36.0
,32.0
,5.0
,30.0
,32.0
,34.0
,66.5
,40.5
,39.0
,32.0
,30.0
,31.0
,57.0
,36.0
,23.0
,21.0
,28.0
,29.0
,28.0
,28.0
,8.5
,69.5
,26.0
,38.0
,26.5
,31.0
,36.0
,64.5
,38.0
,35.0
,85.0
,24.0
,32.0
,30.0
,31.0
,34.5
,22.0
,24.0
,74.0
,27.0
,33.0
,34.0
,38.0
,37.0
,25.0
,28.5
,31.0
,29.0
,34.0
,33.0
,29.0
,34.0
,100.0
,29.0
,23.0
,37.0
,42.0
,27.0
,28.0
,28.0
,22.0
,38.0
,70.0
,38.0
,14.0
,52.5
,26.0
,31.0
,30.0
,38.0
,31.0
,38.0
,31.0
