Bot,Humain
33.0,100.0
100.0,31.0
41.0,100.0
66.0,35.0
70.0,14.0
74.5,31.0
71.0,33.0
66.0,96.0
37.0,36.0
100.0,2.0
21.0,32.0
94.0,27.0
92.0,18.0
97.0,33.0
99.0,8.0
86.0,45.0
100.0,20.0
93.0,32.0
88.0,13.0
87.0,24.0
100.0,24.0
100.0,32.5
96.0,100.0
91.0,22.0
36.0,9.0
90.5,27.0
74.0,21.5
91.0,63.5
100.0,100.0
100.0,14.0
81.0,8.0
84.0,11.0
100.0,29.0
45.0,50.0
100.0,100.0
66.0,100.0
93.0,25.0
85.0,26.0
100.0,1.0
100.0,7.5
77.0,12.0
18.0,15.0
31.5,26.0
100.0,19.0
63.0,100.0
88.0,7.0
66.0,100.0
100.0,23.0
100.0,43.0
100.0,11.0
100.0,100.0
6.0,100.0
54.0,21.0
23.0,19.0
55.0,99.5
100.0,9.0
78.0,2.0
98.0,100.0
100.0,11.0
91.0,5.0
27.0,23.0
81.0,10.0
100.0,65.5
97.0,3.0
100.0,33.0
100.0,75.0
55.0,7.0
94.0,38.0
100.0,25.0
15.0,100.0
100.0,4.0
100.0,29.0
100.0,28.0
100.0,6.0
74.0,35.0
100.0,100.0
100.0,29.0
68.5,21.0
82.0,100.0
62.0,35.0
100.0,44.0
69.0,24.0
97.0,28.0
38.0,100.0
100.0,100.0
97.0,29.0
100.0,100.0
92.0,23.0
29.0,37.5
42.0,31.0
100.0,80.0
91.0,1.0
85.5,100.0
100.0,36.0
,31.0
,19.0
,100.0
,20.0
,8.0
,23.0
,27.0
,40.0
,48.0
,12.0
,26.0
,23.0
,100.0
,21.0
,26.0
,33.5
,30.0
,29.0
,11.0
,99.5
,16.0
,39.0
,26.0
,19.0
,23.0
,29.0
,15.0
,19.0
,100.0
,37.0
,3.0
,41.0
,33.0
,100.0
,26.0
,27.5
,21.0
,27.0
,16.0
,0.0
,22.0
,33.0
,26.0
,100.0
,25.0
,4.0
,100.0
,27.0
,10.0
,42.0
,34.0
,43.0
,17.0
,100.0
,100.0
,25.0
,11.0
,100.0
,100.0
,17.5
,10.0
,21.0
,100.0
,100.0
,16.0
,25.0
,75.0
,33.5
,23.0
,30.0
,100.0
,18.0
,100.0
,100.0
,100.0
,0.5
,36.0
,100.0
,100.0
,29.0
,20.0
,23.0
,21.0
,32.0
,12.0
,0.0
,27.0
,22.0
,100.0
,25.0
,100.0
,26.0
,27.0
,100.0
,1.0
,33.0
,4.0
,22.5
,53.5
,10.0
,28.0
,41.0
,66.0
,13.0
,12.0
,2.5
,11.0
,12.0
,13.0
,100.0
,25.0
,5.0
,17.0
,16.0
,22.0
,33.0
,30.0
,37.0
,30.0
,4.0
,27.0
,23.0
,100.0
,65.0
,30.0
,100.0
,18.0
,100.0
,10.0
,1.0
,62.5
,7.0
,47.0
,24.0
,33.0
,20.0
,24.0
,100.0
,17.0
,24.0
,26.0
,12.5
,12.5
,36.0
,19.0
,25.0
,4.0
,7.0
,38.5
,100.0
,100.0
,49.0
,25.5
,50.0
,22.0
,100.0
,33.0
,35.0
,100.0
,24.0
,34.0
,100.0
,6.0
,29.0
,80.0
,30.0
,27.0
,29.0
,100.0
,27.0
,30.5
,32.0
,12.0
,9.0
,61.0
,100.0
,23.0
,23.0
,5.0
,3.0
,19.0
,34.0
,38.0
,41.0
,30.0
,68.0
,38.0
,34.5
,3.0
,85.0
,100.0
,100.0
,6.5
,35.0
,30.0
,100.0
,100.0
,17.0
,26.0
,4.0
,19.0
,26.0
,20.0
,43.0
,24.0
,85.0
,11.0
,28.0
,30.0
,24.0
,64.5
,100.0
,59.5
,6.0
,23.5
,100.0
,32.0
,25.0
,100.0
,24.0
,100.0
,2.5
,100.0
,95.0
,100.0
,28.0
,27.5
,90.0
,20.0
,23.0
,24.0
,25.0
,64.5
,72.0
,100.0
,40.0
,24.0
,31.0
,100.0
,3.0
,15.0
,3.0
,100.0
,29.0
,32.0
,33.0
,100.0
,33.0
,69.0
,32.0
,8.0
,4.0
,35.0
,100.0
,32.5
,30.0
,50.0
,20.0
,3.0
,67.5
,100.0
,24.0
,29.0
,100.0
,24.0
,100.0
,6.0
,18.0
,23.0
,9.0
,23.0
,36.0
,100.0
,25.0
,10.0
,40.0
,39.0
,42.0
,27.0
,9.0
,2.0
,18.0
,27.0
,1.0
,36.0
,33.0
,100.0
,26.0
,10.0
,45.0
,36.0
,14.5
,21.0
,13.5
,100.0
,21.0
,15.0
,100.0
,25.0
,100.0
,27.0
,14.5
,21.5
,100.0
,20.0
,100.0
,16.0
,100.0
,32.0
,38.0
,10.0
,26.0
,28.0
,56.0
,100.0
,7.0
,22.0
,100.0
,100.0
,52.0
,100.0
,100.0
,100.0
,6.0
,18.0
,100.0
,3.0
,13.0
,15.0
,29.0
,69.5
,100.0
,45.5
,23.0
,28.5
,37.0
,54.0
,78.5
,100.0
,100.0
,18.0
,32.0
,33.0
,23.0
,49.0
,100.0
,6.0
,25.5
,100.0
,100.0
,13.0
,38.0
,100.0
,13.0
,13.5
,100.0
,7.0
,25.0
,27.5
,100.0
,19.0
,100.0
,2.0
,22.0
,12.0
,31.0
,31.0
,12.0
,16.0
,100.0
,85.0
,9.0
,12.0
,70.0
,100.0
,57.5
,100.0
,100.0
,100.0
,2.0
,31.0
,34.0
,44.0
,15.0
,31.0
,100.0
,36.0
,33.0
,56.0
,25.5
,25.0
,19.5
,42.0
,27.5
,17.0
,14.5
,100.0
,17.0
,11.5
,30.0
,16.0
,17.0
,100.0
,100.0
,8.0
,7.0
,11.0
,100.0
,18.0
,34.0
,100.0
,15.0
,100.0
,100.0
,28.0
,100.0
,100.0
,29.0
,68.5
,1.0
,100.0
,28.0
,9.0
,100.0
,15.5
,28.0
,31.0
,100.0
,19.0
,31.0
,100.0
,10.5
,23.0
,10.0
,36.0
,31.0
,33.5
,18.0
,9.0
,28.0
,38.5
,7.0
,100.0
,29.0
,36.0
,34.5
,12.0
,28.0
,16.0
,34.0
,1.0
,28.0
,33.0
,22.0
,23.0
,8.0
,17.0
,68.0
,19.0
,28.0
,2.0
,23.5
,36.0
,37.0
,100.0
,100.0
,21.0
,12.0
,100.0
,100.0
,100.0
,100.0
,29.0
,32.0
,27.0
,20.5
,33.0
,35.5
,37.0
,15.0
,36.0
,74.0
,33.0
,38.0
,28.0
,3.0
,30.0
,13.0
,12.0
,10.5
,92.0
,21.0
,8.0
,82.0
,9.0
,36.0
,35.0
,35.0
,4.5
,36.0
,57.0
,26.0
,21.0
,31.0
,30.0
,2.0
,19.0
,7.0
,19.0
,50.0
,100.0
,100.0
,20.0
,9.0
,100.0
,100.0
,6.0
,9.0
,12.0
,19.0
,100.0
,100.0
,100.0
,50.0
,24.0
,15.0
,37.0
,32.0
,30.0
,100.0
,37.0
,61.0
,38.0
,14.0
,34.0
,33.0
,100.0
,23.0
,15.0
,15.0
,29.0
,25.0
,28.5
,51.0
,21.0
,5.0
,37.0
,9.0
,33.5
,4.0
,5.0
,100.0
,100.0
,27.0
,100.0
,26.0
,15.0
,34.0
,26.5
,30.0
,34.0
,28.0
,27.0
,100.0
,87.5
,30.0
,100.0
,19.0
,3.0
,14.0
,6.0
,27.0
,16.0
,31.0
,27.0
,17.0
,11.0
,27.0
,1.0
,100.0
,83.0
,100.0
,35.0
,20.0
,32.0
,9.0
,36.0
,8.0
,32.0
,21.0
,100.0
,52.0
,31.0
,100.0
,25.0
,77.0
,23.0
,20.0
,28.0
,33.0
,27.5
,4.0
,28.0
,59.0
,60.0
,46.0
,100.0
,35.0
,17.0
,5.0
,16.0
,14.0
,23.0
,13.0
,100.0
,3.0
,9.0
,39.0
,100.0
,6.0
,56.0
,77.0
,25.0
,10.0
,31.0
,37.0
,30.0
,4.0
,100.0
,32.0
,33.0
,44.0
,6.0
,100.0
,100.0
,100.0
,23.0
,28.0
,34.0
,5.0
,17.0
,100.0
,25.0
,100.0
,90.0
,15.0
,28.0
,27.0
,45.0
,30.5
,50.0
,100.0
,24.0
,100.0
,36.0
,100.0
,56.0
,4.0
,8.0
,21.0
,28.0
,100.0
,15.0
,26.0
,5.5
,30.0
,21.0
,1.0
,21.0
,24.0
,10.0
,26.0
,23.0
,26.0
,100.0
,100.0
,35.0
,33.0
,13.0
,6.0
,100.0
,37.0
,31.0
,37.5
,100.0
,18.0
,11.0
,27.0
,50.0
,24.0
,48.0
,3.0
,14.0
,31.0
,100.0
,15.0
,37.0
,100.0
,29.0
,100.0
,68.0
,0.0
,100.0
,100.0
,4.0
,100.0
,13.0
,33.0
,1.0
,5.0
,32.0
,22.0
,100.0
,100.0
,20.0
,100.0
,21.0
,100.0
,34.0
,8.0
,16.0
,28.0
,100.0
,17.0
,14.0
,32.0
,41.0
,26.0
,100.0
,34.5
,35.0
,58.0
,68.0
,100.0
,29.0
,11.0
,61.0
,20.0
,33.0
,19.0
,100.0
,24.0
,32.0
,47.0
,100.0
,35.0
,44.0
,27.0
,24.0
,17.0
,100.0
,4.0
,100.0
,14.0
,5.0
,100.0
,40.0
,100.0
,30.0
,100.0
,24.5
,63.5
,24.0
,7.0
,100.0
,18.0
,27.0
,100.0
,31.5
,31.0
,26.0
,17.0
,14.0
,39.0
,100.0
,32.0
,19.0
,10.0
,41.0
,20.0
,33.0
,100.0
,86.5
,34.0
,100.0
,15.0
,13.0
,29.0
,22.0
,30.0
,17.0
,24.0
,15.0
,30.0
,23.0
,17.0
,17.0
,34.0
,100.0
,37.0
,28.0
,100.0
,52.0
,21.0
,6.0
,100.0
,41.0
,11.0
,9.0
,24.0
,95.0
,39.0
,50.0
,28.0
,31.0
,38.0
,14.5
,34.0
,2.5
,14.0
,26.0
,35.0
,32.0
,12.0
,36.0
,41.0
,24.0
,100.0
,95.0
,17.0
,2.0
,13.0
,100.0
,44.0
,80.0
,3.0
,100.0
,22.0
,26.0
,100.0
,19.0
,33.0
,38.0
,38.0
,96.0
,9.0
,50.0
,31.0
,25.0
,37.0
,34.0
,33.5
,100.0
,2.0
,78.0
,20.5
,50.5
,100.0
,27.0
,8.0
,20.0
,50.0
,32.0
,65.0
,93.0
,6.0
,32.0
,37.0
,9.5
,25.0
,30.0
,20.0
,12.0
,10.0
,26.0
,46.0
,27.0
,21.0
,33.0
,32.0
,36.0
,41.0
,19.0
,13.0
,59.0
,33.0
,19.0
,18.0
,11.0
,33.0
,22.0
,26.0
,16.0
,33.0
,48.0
,21.5
,11.0
,8.0
,8.0
,35.0
,45.0
,7.0
,22.0
,44.0
,34.0
,26.0
,21.0
,74.0
,17.0
,37.0
,100.0
,100.0
,26.0
,33.5
,33.0
,6.0
,29.0
,29.0
,2.0
,28.0
,2.0
,32.0
,23.0
,33.0
,9.5
,30.5
,24.0
,25.0
,26.0
,11.0
,26.0
,8.5
,6.0
,34.0
,23.0
,33.0
,100.0
,33.0
,25.0
,8.0
,20.0
,21.0
,16.0
,32.0
,35.0
,4.0
,29.0
,33.0
,21.0
,100.0
,29.0
,27.0
,28.0
,50.0
,59.0
,0.0
,100.0
,33.0
,31.0
,6.0
,17.0
,35.0
,20.0
,100.0
,37.0
,33.5
,29.5
,13.0
,50.0
,100.0
,28.0
,100.0
,13.5
,5.5
,25.0
,100.0
,4.0
,15.0
,11.0
,31.0
,27.0
,6.0
,8.0
,4.0
,90.5
,14.0
,12.0
,7.0
,24.5
,14.0
,100.0
,100.0
,21.0
,40.0
,100.0
,26.0
,48.0
,100.0
,100.0
,4.0
,15.0
,19.0
,33.0
,86.5
,1.5
,21.0
,36.0
,19.0
,100.0
,26.0
,13.0
,28.5
,100.0
,24.5
,100.0
,10.0
,68.0
,30.0
,28.0
,25.0
,12.0
,4.0
,9.0
,8.0
,100.0
,3.0
,100.0
,19.0
,12.5
,100.0
,9.0
,100.0
,27.0
,31.0
,18.0
,12.0
,30.0
,7.0
,17.0
,29.5
,6.0
,36.5
,56.0
,14.0
,45.0
,100.0
,36.5
,7.0
,100.0
,26.0
,25.0
,13.0
,29.0
,14.0
,68.0
,10.0
,23.5
,23.0
,29.5
,25.0
,29.0
,36.0
,31.0
,28.0
,33.0
,6.0
,32.0
,53.0
,100.0
,31.5
,100.0
,3.0
,8.0
,24.0
,84.5
,10.0
,11.0
,26.0
,21.0
,20.0
,20.0
,13.0
,34.0
,16.0
,29.0
,34.5
,40.0
,30.0
,100.0
,34.0
,16.0
,21.5
,100.0
,35.0
,100.0
,37.0
,100.0
,35.0
,16.0
,13.0
,29.0
,8.0
,44.0
,88.0
,100.0
,100.0
,100.0
,35.0
,35.0
,36.0
,70.0
,100.0
,13.0
,17.0
,30.0
,37.0
,100.0
,9.0
,19.0
,100.0
,10.0
,18.0
,23.0
,25.0
,61.5
,26.0
,50.0
,100.0
,23.0
,19.0
,2.0
,69.5
,30.0
,35.0
,37.0
,9.0
,22.0
,100.0
,19.0
,30.0
,21.0
,100.0
,12.0
,29.0
,29.0
,28.0
,50.0
,41.0
,100.0
,32.0
,12.0
,5.0
,7.0
,23.0
,32.0
,24.0
,26.0
,37.0
,24.0
,11.0
,35.0
,14.0
,100.0
,29.0
,18.0
,100.0
,7.0
,32.0
,4.5
,36.0
,48.0
,39.0
,72.5
,9.0
,100.0
,39.0
,22.0
,100.0
,29.0
,26.0
,53.0
,38.0
,29.0
,32.0
,100.0
,12.0
,20.0
,2.0
,28.5
,9.0
,100.0
,50.0
,21.0
,100.0
,9.0
,100.0
,5.5
,36.0
,100.0
,24.0
,16.0
,7.5
,5.0
,19.0
,36.0
,32.0
,9.0
,42.0
,21.0
,100.0
,25.0
,16.0
,9.0
,100.0
,100.0
,100.0
,68.5
,22.0
,100.0
,69.0
,33.0
,37.0
,15.5
,53.0
,43.0
,38.0
,12.0
,100.0
,28.0
,57.0
,71.0
,100.0
,100.0
,100.0
,9.0
,16.0
,100.0
,22.0
,38.0
,26.0
,50.0
,30.0
,3.0
,24.0
,100.0
,29.0
,41.0
,20.5
,34.0
,100.0
,100.0
,15.0
,20.5
,37.0
,24.0
,14.5
,31.5
,35.0
,28.0
,34.0
,19.5
,9.0
,33.0
,4.0
,25.0
,7.5
,3.0
,28.0
,11.0
,3.0
,29.0
,10.0
,30.0
,26.0
,35.0
,100.0
,100.0
,21.0
,24.0
,25.0
,30.0
,18.0
,37.0
,100.0
,13.0
,29.0
,33.0
,25.0
,42.0
,100.0
,27.0
,100.0
,100.0
,24.0
,30.0
,33.0
,31.5
,6.0
,100.0
,100.0
,22.0
,100.0
,55.0
,28.5
,18.0
,25.0
,30.0
,17.0
,35.5
,26.0
,100.0
,30.0
,21.0
,34.0
,17.0
,12.0
,73.0
,11.0
,22.0
,18.0
,31.0
,30.0
,100.0
,7.0
,32.0
,35.0
,4.0
,35.0
,100.0
,28.5
,100.0
,8.0
,42.0
,29.0
,11.5
,30.0
,29.0
,13.0
,41.0
,31.0
,22.5
,100.0
,7.0
,62.5
,28.0
,50.0
,1.0
,7.0
,6.0
,20.0
,11.0
,29.0
,17.0
,13.5
,16.0
,83.0
,34.0
,100.0
,31.0
,32.0
,31.0
,36.0
,35.0
,58.5
,27.5
,100.0
,100.0
,29.5
,21.0
,28.0
,17.0
,34.0
,23.0
,100.0
,100.0
,31.0
,10.0
,16.0
,13.0
,27.0
,100.0
,15.0
,20.0
,7.5
,20.5
,5.0
,11.0
,4.0
,16.5
,100.0
,100.0
,15.0
,25.0
,22.0
,34.0
,17.0
,100.0
,33.0
,16.0
,21.0
,3.0
,19.0
,34.5
,32.0
,100.0
,35.0
,18.0
,28.0
,13.5
,25.0
,25.0
,3.0
,38.0
,12.0
,9.0
,21.5
,14.0
,100.0
,100.0
,100.0
,21.0
,37.0
,3.0
,82.0
,32.0
,36.0
,13.0
,100.0
,100.0
,100.0
,33.0
,100.0
,15.0
,100.0
,3.0
,100.0
,100.0
,100.0
,30.0
,14.5
,100.0
,29.0
,100.0
,32.5
,100.0
,30.0
,33.0
,32.0
,25.5
,38.0
,100.0
,36.0
,16.0
,11.0
,24.0
,100.0
,5.0
,6.0
,29.0
,64.0
,11.0
,16.5
,13.5
,75.0
,6.0
,18.5
,16.0
,35.0
,3.0
,42.0
,23.5
,20.0
,10.0
,33.0
,2.0
,9.5
,21.0
,18.0
,100.0
,100.0
,23.0
,22.0
,34.0
,28.0
,54.0
,35.0
,35.0
,23.0
,27.0
,24.0
,100.0
,13.0
,25.0
,9.0
,28.0
,28.0
,100.0
,4.0
,39.0
,27.0
,25.0
,33.0
,21.0
,25.5
,3.0
,100.0
,100.0
,37.0
,20.0
,34.0
,100.0
,85.0
,19.0
,94.0
,100.0
,24.0
,33.5
,6.0
,19.0
,30.0
,50.0
,50.0
,81.0
,61.0
,8.0
,32.0
,20.5
,28.0
,100.0
,32.0
,17.0
,39.0
,8.0
,26.0
,27.0
,41.0
,26.0
,36.0
,12.0
,22.5
,100.0
,100.0
,30.0
,38.0
,40.0
,100.0
,37.5
,9.0
,100.0
,63.0
,50.0
,6.0
,37.0
,71.5
,37.0
,58.0
,37.5
,35.0
,100.0
,38.0
,100.0
,19.0
,100.0
,32.0
,36.0
,11.0
,38.0
,33.5
,11.0
,43.0
,32.5
,58.5
,17.0
,36.0
,100.0
,21.0
,31.0
,32.0
,27.0
,35.0
,16.0
,24.0
,1.0
,27.0
,33.0
,27.0
,95.5
,32.0
,33.0
,100.0
,50.5
,68.5
,35.0
,18.0
,26.0
,100.0
,28.0
,36.0
,39.0
,34.0
,50.0
,27.0
,4.0
,29.0
,19.0
,37.0
,33.0
,34.0
,100.0
,100.0
,50.0
,23.0
,27.0
,8.0
,24.0
,19.0
,3.0
,3.0
,51.0
,29.0
,49.0
,10.5
,62.0
,21.0
,57.0
,34.0
,19.0
,64.5
,37.0
,31.0
,100.0
,24.5
,38.0
,100.0
,100.0
,100.0
,40.5
,50.0
,32.0
,52.0
,15.0
,39.0
,25.0
,34.0
,21.0
,100.0
,31.5
,9.0
,14.0
,30.5
,23.0
,32.0
,38.0
,17.0
,91.0
,100.0
,100.0
,100.0
,100.0
,12.0
,33.5
,39.0
,19.0
,28.0
,64.5
,37.0
,100.0
,27.0
,39.5
,30.0
,31.0
,21.0
,40.0
,100.0
,26.0
,23.0
,26.0
,37.0
,2.0
,27.5
,34.0
,37.0
,15.5
,100.0
,100.0
,22.0
,44.0
,100.0
,29.0
,8.5
,27.5
,37.0
,16.0
,27.0
,100.0
,84.0
,29.0
,30.0
,100.0
,100.0
,73.0
,25.0
,45.5
,100.0
,42.0
,33.0
,31.0
,34.0
,30.0
,69.0
,100.0
,9.0
,61.0
,75.0
,31.0
,17.0
,32.0
,6.0
,29.0
,37.0
,100.0
,15.0
,8.0
,34.0
,29.0
,3.0
,92.0
,29.0
,29.0
,19.0
,7.0
